,action,borrowAssetPriceUSD,collateralAmount,collateralAssetPriceUSD,id,liquidator,principalAmount,timestamp,txHash,collateral_reserve_decimals,collateral_reserve_name,collateralReserve.underlyingAsset,pool,principal_reserve_decimals,principal_reserve_name,principalReserve.underlyingAsset,user_id
0,LiquidationCall,0.0,0.124604952504592,1782.44,18239948:23:0x007d12decd9fa67b3a541a7f49d27c9102b3706b300a5752ed2626dc7e16451f:102:102,0x6dce52e318338b0cc30969ada8e0c95d24c37a28,200.62836365397607,1695973247,0x007d12decd9fa67b3a541a7f49d27c9102b3706b300a5752ed2626dc7e16451f,18,Wrapped Ether,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,18,Gho Token,0x40d16fc0246ad3160ccc09b8d0d3a2cd28ae6c2f,0xcb592d663b4bdea427c1d3ea31251d4450c21db7
1,LiquidationCall,611.8754818,4.359068371055715,1782.44,18229157:1:0xd9e0d976f194520193b0cce82a29f3f8130478d997890ac444a91fda163a36b0:18:18,0x681d0d7196a036661b354fa2a7e3b73c2adc43ec,4.525797810372196,1695842639,0xd9e0d976f194520193b0cce82a29f3f8130478d997890ac444a91fda163a36b0,18,Wrapped Ether,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,18,Maker,0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2,0xaf91dae4bdb5f3c135da4ff5d23aaf1e137ca45e
2,LiquidationCall,1.00011,0.5676512767339567,1782.44,18227820:2:0x5f8d7046b42426c361b5ed64f97df5ced25513d705481e063e192e880b30482f:29:29,0x0035146a0000af00ef048f0000e80061a10014cb,864.7125773494375,1695826499,0x5f8d7046b42426c361b5ed64f97df5ced25513d705481e063e192e880b30482f,18,Wrapped Ether,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,18,Dai Stablecoin,0x6b175474e89094c44da98b954eedeac495271d0f,0xab12275f2d91f87b301a4f01c9af4e83b3f45baa
3,LiquidationCall,0.0,11.641063294043304,0.0,18227819:1:0xb0e571a01bf3a15d50601f614397e1fedbe4a5a09bb4e9e5832da2f26cefff58:21:21,0x80d4230c0a68fc59cb264329d3a717fcaa472a13,20057.85472626431,1695826487,0xb0e571a01bf3a15d50601f614397e1fedbe4a5a09bb4e9e5832da2f26cefff58,18,Wrapped liquid staked Ether 2.0,0x7f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,18,Gho Token,0x40d16fc0246ad3160ccc09b8d0d3a2cd28ae6c2f,0x5eaa8bdc315608e8cf873cfaba05e42826f68c4d
4,LiquidationCall,1.00000399,0.5572688158277925,1782.44,18212546:5:0x7ea5e41ea29cc4c3160f74cab957f35fad993415fa5da046191de5f37d950dbc:77:77,0x7d32c90762e22379235fc311fdb16fab399ed40a,835.138128,1695641831,0x7ea5e41ea29cc4c3160f74cab957f35fad993415fa5da046191de5f37d950dbc,18,Wrapped Ether,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,6,USD Coin,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xc5c2ddabc47fe259ef50ddf6099cafb59c012387
5,LiquidationCall,0.0,4.997038593419305,1782.44,18212546:1:0xdb99d37e31edf89bf70bb0ed2d25f7684facf0200bcdff30352f03151fd389b1:24:24,0x80d4230c0a68fc59cb264329d3a717fcaa472a13,7488.727143991522,1695641831,0xdb99d37e31edf89bf70bb0ed2d25f7684facf0200bcdff30352f03151fd389b1,18,Wrapped Ether,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,18,Gho Token,0x40d16fc0246ad3160ccc09b8d0d3a2cd28ae6c2f,0x05cfd4b9b37f4f8736b6da569fb4262d36f57f56
6,LiquidationCall,1.00000399,0.01989289,0.0,18211742:2:0xaaeb52e3b9dd63f8110cd26905ea3e1b8b21fd9bedf350df97da9ad75e1a6546:22:22,0x681d0d7196a036661b354fa2a7e3b73c2adc43ec,497.052879,1695632123,0xaaeb52e3b9dd63f8110cd26905ea3e1b8b21fd9bedf350df97da9ad75e1a6546,8,Wrapped BTC,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,6,USD Coin,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x36e61ac5a3297da0d9bffbe7827b3d98bc59c955
7,LiquidationCall,1.00011,1.229421616891654,1782.44,18209203:11:0xb17fb4978ac11bba190ae8edd61362c7de13c346759107720610801bd0db9241:49:49,0x1a2d11cb90d1de13bb81ee7b772a08ac234a8058,1850.6555469314064,1695601367,0xb17fb4978ac11bba190ae8edd61362c7de13c346759107720610801bd0db9241,18,Wrapped Ether,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,18,Dai Stablecoin,0x6b175474e89094c44da98b954eedeac495271d0f,0xab12275f2d91f87b301a4f01c9af4e83b3f45baa
8,LiquidationCall,1.00002414,0.01377209,0.0,18208930:13:0x8819ddc51db681f202c7f76fc9752654fe79782f1338f6c25831ecfa690ad4c9:103:103,0x1a2d11cb90d1de13bb81ee7b772a08ac234a8058,346.654213,1695598067,0x8819ddc51db681f202c7f76fc9752654fe79782f1338f6c25831ecfa690ad4c9,8,Wrapped BTC,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,6,USD Coin,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x7420fa58ba44e1141d5e9adb6903be549f7ce0b5
9,LiquidationCall,22.53849492,35597.350448,1.0001,18200449:1:0x2fcfed94761a59d5031de13cbb0c2a29e9474a0f14d0a8ef3a394d590415879f:22:22,0x80d4230c0a68fc59cb264329d3a717fcaa472a13,1524.6720351005397,1695495455,0x2fcfed94761a59d5031de13cbb0c2a29e9474a0f14d0a8ef3a394d590415879f,6,USD Coin,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,18,Rocket Pool Protocol,0xd33526068d116ce69f19a9ee46f0bd304f21a51f,0x73055e3af6515e1aa61679edc55ffd4ba78e3d61
