,action,borrowAssetPriceUSD,collateralAmount,collateralAssetPriceUSD,id,liquidator,principalAmount,timestamp,txHash,collateral_reserve_decimals,collateral_reserve_name,collateralReserve.underlyingAsset,pool,principal_reserve_decimals,principal_reserve_name,principalReserve.underlyingAsset,user_id
0,LiquidationCall,1.00020042,0.3022164904654845,1485.34936918,16619072:164:0xaf3f5e52b8dd988fa5feeac0d5405480ec3f4a2acad2b730b156034dfdaad2c1:386:386,0x3697e949a4d9a507a6ce2f6ff6bb99bcc8eacb81,429.480501,1676282087,0xaf3f5e52b8dd988fa5feeac0d5405480ec3f4a2acad2b730b156034dfdaad2c1,18,Wrapped Ether,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,6,USD Coin,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x69bfc96c3983053c36e790c7eb79372bf6979518
1,LiquidationCall,1.0,50.78793432347733,1561.2241,16593309:1:0xf66f1277c3bb078809676cc0b7e48dbd70cd578b33b9266be1b0895564002234:18:18,0xd050e0a4838d74769228b49dff97241b4ef3805d,75876.887134,1675971227,0xf66f1277c3bb078809676cc0b7e48dbd70cd578b33b9266be1b0895564002234,18,Wrapped Ether,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,6,USD Coin,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xbec69dfce4c1fa8b7843fee1ca85788d84a86b06
2,LiquidationCall,1.00018347,1.2154008332894686,1620.10354,16588404:26:0xbaed189593ba29472e4b2b7e827cc31cc62f12cd3c34df239046dab61035bad7:169:169,0x3697e949a4d9a507a6ce2f6ff6bb99bcc8eacb81,1883.936835,1675911959,0xbaed189593ba29472e4b2b7e827cc31cc62f12cd3c34df239046dab61035bad7,18,Wrapped Ether,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,6,USD Coin,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x87a6cd60c74b7c70b7443ff4632118ccfe650d9d
