,action,amount,assetPriceUSD,id,timestamp,txHash,useATokens,pool,repayer_id,reserve_decimals,reserve_name,underlying_asset,user_id
0,Repay,3110.654221,0.99999942,19771555:147:0x5d7cc99a92c5b73d80f71851b3334a70227243c71558b038fe9f0fe001bc2ba0:254:254,1714521551,0x5d7cc99a92c5b73d80f71851b3334a70227243c71558b038fe9f0fe001bc2ba0,False,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,0xe6fc6a67607efe4c44224c16be190980779f2dc1,6,USD Coin,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xe6fc6a67607efe4c44224c16be190980779f2dc1
1,Repay,4.970481619518309,0.0,19771530:131:0xf17f5f63ae596b6dfcd7a92472338828595a44c8d5191f64a6bb3d512a6dfc2a:192:192,1714521251,0xf17f5f63ae596b6dfcd7a92472338828595a44c8d5191f64a6bb3d512a6dfc2a,False,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,0xf833886f0d36441b98f67b3c7c605231fb4d8889,18,Wrapped liquid staked Ether 2.0,0x7f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,0xf833886f0d36441b98f67b3c7c605231fb4d8889
2,Repay,300.0,1782.44,19771413:336:0xa3b073123dec789c67052c145fee7b10a8c51fe23baf95b1929fee3d1841514e:475:475,1714519835,0xa3b073123dec789c67052c145fee7b10a8c51fe23baf95b1929fee3d1841514e,False,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,0x893411580e590d62ddbca8a703d61cc4a8c7b2b9,18,Wrapped Ether,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xfe99cc4664a939f826dbeb545c1aad4c89ee737a
3,Repay,49996.891571,0.9996719,19771408:9:0xddc9ff04d7927493e035ab5615826eae5ebfe298402d828664e47bd363903c56:33:33,1714519775,0xddc9ff04d7927493e035ab5615826eae5ebfe298402d828664e47bd363903c56,False,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,0x59319c81c0cf3d02e3b68996c2dfe47308a006dc,6,Tether USD,0xdac17f958d2ee523a2206206994597c13d831ec7,0x59319c81c0cf3d02e3b68996c2dfe47308a006dc
4,Repay,50000.0,0.99999942,19771366:1:0x0495020500180016ecae1e8e34ea03a15329a32fd82a7f52e9e9d46dcfdb7279:45:45,1714519271,0x0495020500180016ecae1e8e34ea03a15329a32fd82a7f52e9e9d46dcfdb7279,False,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,0x02e7b8511831b1b02d9018215a0f8f500ea5c6b3,6,USD Coin,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x58d9461dd8b0a7ef1f50053be1247f7cc77ed4c1
5,Repay,50102.02103,0.9996719,19771336:162:0x0352088930667bd2abc6b1a398a0772d2e9c0698481c3c9f7f3ca9a0420e8768:304:304,1714518911,0x0352088930667bd2abc6b1a398a0772d2e9c0698481c3c9f7f3ca9a0420e8768,False,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,0x02e7b8511831b1b02d9018215a0f8f500ea5c6b3,6,Tether USD,0xdac17f958d2ee523a2206206994597c13d831ec7,0x6cbf7fe77c04fdcc25f4d8fd4218bb602cefc1d3
6,Repay,25070.54689,0.9996719,19771333:81:0xbfba48db5c9aaade6fa17f377d203b16d157165af41d256bd35f669bfe3f1264:352:352,1714518875,0xbfba48db5c9aaade6fa17f377d203b16d157165af41d256bd35f669bfe3f1264,False,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,0x217d056f12b281659b5697a828c4b01f312a9f26,6,Tether USD,0xdac17f958d2ee523a2206206994597c13d831ec7,0x217d056f12b281659b5697a828c4b01f312a9f26
7,Repay,135.4467198756617,0.0,19771331:61:0x4978712f6ec778be2cd5ba1be638150fd0d5a11c6bd2aca2f8c742a74e269a6d:255:255,1714518851,0x4978712f6ec778be2cd5ba1be638150fd0d5a11c6bd2aca2f8c742a74e269a6d,False,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,0xfb35fd14669a200ca251e040828a77b02dffde89,18,Gho Token,0x40d16fc0246ad3160ccc09b8d0d3a2cd28ae6c2f,0xfb35fd14669a200ca251e040828a77b02dffde89
8,Repay,250.0,0.99999942,19771324:210:0x994ccb767aa714d0e5b4e5d10a40b22a12f2469375d5b0a82cfb6438d96fbf84:400:400,1714518767,0x994ccb767aa714d0e5b4e5d10a40b22a12f2469375d5b0a82cfb6438d96fbf84,False,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,0x02e7b8511831b1b02d9018215a0f8f500ea5c6b3,6,USD Coin,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x3ee28b6d1d685007775b9f6abca2c5809d9fa61b
9,Repay,1430.0,0.9996719,19771299:71:0x0d6f941a17caea8a9ce7400f58297e2fcfdd2b03e5d8e9809a179fc56945d2f7:317:317,1714518467,0x0d6f941a17caea8a9ce7400f58297e2fcfdd2b03e5d8e9809a179fc56945d2f7,False,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,0x02e7b8511831b1b02d9018215a0f8f500ea5c6b3,6,Tether USD,0xdac17f958d2ee523a2206206994597c13d831ec7,0xaa0abae9639e54b29162585f6e8f035657a99941
10,Repay,154042.996718,0.99999942,19771292:2:0x3d79dae3bf527c2e259b342b62c4c5e856520091b3a182b1db8370f9faba2c9c:37:37,1714518383,0x3d79dae3bf527c2e259b342b62c4c5e856520091b3a182b1db8370f9faba2c9c,False,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,0xb0000000aa4f00af1200c8b2befb6300853f0069,6,USD Coin,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xb0000000aa4f00af1200c8b2befb6300853f0069
11,Repay,2063.979820651956,0.0,19771269:67:0xbeafce67bc4a6c53a66c9680b762ec5960c5e1f9e2c889eb6b17601d22a2c46b:145:145,1714518107,0xbeafce67bc4a6c53a66c9680b762ec5960c5e1f9e2c889eb6b17601d22a2c46b,False,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,0xa1f0aca0fade2e7c5fbc6694aa288478a05bbb18,18,Gho Token,0x40d16fc0246ad3160ccc09b8d0d3a2cd28ae6c2f,0xa1f0aca0fade2e7c5fbc6694aa288478a05bbb18
12,Repay,4334807.332675,0.99999942,19771249:2:0x69f8c0d7fe1dfa0a9867e2a3b23811bde4998ead91d6ae73827900227b8a029c:79:79,1714517867,0x69f8c0d7fe1dfa0a9867e2a3b23811bde4998ead91d6ae73827900227b8a029c,False,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,0xa6381631e0634e97e23a80a3c57f9582aa959e16,6,USD Coin,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xa6381631e0634e97e23a80a3c57f9582aa959e16
13,Repay,2716139.997373,0.99999942,19771249:0:0x8b4657cfdd23b69f23a4de5d51487689e3b52f561d30ecb875d97fc4c4418a59:34:34,1714517867,0x8b4657cfdd23b69f23a4de5d51487689e3b52f561d30ecb875d97fc4c4418a59,False,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,0xa6381631e0634e97e23a80a3c57f9582aa959e16,6,USD Coin,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xa6381631e0634e97e23a80a3c57f9582aa959e16
14,Repay,1291.360319,0.99999942,19771218:29:0xac10772300689028e7f86d0cea8f01eb2c976ffa323e2aed09ace9a244758e3c:209:209,1714517483,0xac10772300689028e7f86d0cea8f01eb2c976ffa323e2aed09ace9a244758e3c,False,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,0xd85601d1d5f89ac56be2b84e472565ee4040ebf9,6,USD Coin,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xd85601d1d5f89ac56be2b84e472565ee4040ebf9
15,Repay,115.71653846545765,0.0,19771211:5:0x0cf065f35e3ffe3e3dcf19e9a0fa71cfb125839401fb9bc1b7009f7fb451c60e:105:105,1714517399,0x0cf065f35e3ffe3e3dcf19e9a0fa71cfb125839401fb9bc1b7009f7fb451c60e,False,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,0xb03feb49877a85925f15b42388f22512976ed54d,18,Rocket Pool ETH,0xae78736cd615f374d3085123a210448e74fc6393,0xb03feb49877a85925f15b42388f22512976ed54d
16,Repay,5500.0,0.9996719,19771210:232:0x02c41c1cff9993a8a03c750be7398738af10b880c768b2681f06ff30bbd54031:544:544,1714517387,0x02c41c1cff9993a8a03c750be7398738af10b880c768b2681f06ff30bbd54031,False,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,0x8c488f376fb9a646c69cc76c8de5983d88ccdb06,6,Tether USD,0xdac17f958d2ee523a2206206994597c13d831ec7,0x8c488f376fb9a646c69cc76c8de5983d88ccdb06
17,Repay,100.0,0.0,19771151:123:0x51a3453b52c9618b332a2b611b781daa6c326a4f1460311d2b59239570beeca0:330:330,1714516679,0x51a3453b52c9618b332a2b611b781daa6c326a4f1460311d2b59239570beeca0,False,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,0x16b89fe79fd4fbc3b53edc58b481ee538bcffd93,18,Gho Token,0x40d16fc0246ad3160ccc09b8d0d3a2cd28ae6c2f,0x16b89fe79fd4fbc3b53edc58b481ee538bcffd93
18,Repay,7897.368709217675,19.49370999,19771120:2:0x0480954846ecbae71e1dbf0726c4d500df746da9b8f32eb528783d020e31a978:59:59,1714516307,0x0480954846ecbae71e1dbf0726c4d500df746da9b8f32eb528783d020e31a978,False,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,0xb0000000aa4f00af1200c8b2befb6300853f0069,18,Rocket Pool Protocol,0xd33526068d116ce69f19a9ee46f0bd304f21a51f,0xb0000000aa4f00af1200c8b2befb6300853f0069
19,Repay,30.386943,0.9996719,19771117:77:0xfadae22fcc4e30aad283364e3ca30a52b16e05f8b160c9212f5881729f1a46a4:462:462,1714516271,0xfadae22fcc4e30aad283364e3ca30a52b16e05f8b160c9212f5881729f1a46a4,False,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,0x8761e0370f94f68db8eaa731f4fc581f6ad0bd68,6,Tether USD,0xdac17f958d2ee523a2206206994597c13d831ec7,0xedde1d89b14585212766c6474a9411aaaa3b0bbc
20,Repay,0.5,0.0,19771117:77:0xfadae22fcc4e30aad283364e3ca30a52b16e05f8b160c9212f5881729f1a46a4:451:451,1714516271,0xfadae22fcc4e30aad283364e3ca30a52b16e05f8b160c9212f5881729f1a46a4,False,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,0x8761e0370f94f68db8eaa731f4fc581f6ad0bd68,8,Wrapped BTC,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0xedde1d89b14585212766c6474a9411aaaa3b0bbc
21,Repay,29494.996701,0.9996719,19771078:370:0x1e88edcb521bb9389719fde2e10427ea416d9e356b5e15f095bb27c0eed9690c:602:602,1714515791,0x1e88edcb521bb9389719fde2e10427ea416d9e356b5e15f095bb27c0eed9690c,False,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,0xf368d43f148e1803ec793670183b0ca6a07d3898,6,Tether USD,0xdac17f958d2ee523a2206206994597c13d831ec7,0xf368d43f148e1803ec793670183b0ca6a07d3898
22,Repay,333048.358636,0.9996719,19771055:102:0xa9b16ed98cdac8988f2a03b0974f056447efb6eca022633b039cad895cc4e12d:161:161,1714515503,0xa9b16ed98cdac8988f2a03b0974f056447efb6eca022633b039cad895cc4e12d,False,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,0x57e6519f5b4385d98a79cd766f23d75431e7af96,6,Tether USD,0xdac17f958d2ee523a2206206994597c13d831ec7,0x57e6519f5b4385d98a79cd766f23d75431e7af96
23,Repay,6.995393418392315,1782.44,19771044:118:0xa580a2b8db5798ea88cd1339929f3b9fa9ae0bd9e45f16c0f6f900b864284f67:262:262,1714515371,0xa580a2b8db5798ea88cd1339929f3b9fa9ae0bd9e45f16c0f6f900b864284f67,False,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,0xa65c31f1d6c57eab810e65f00db70a8e7db2adfb,18,Wrapped Ether,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xa65c31f1d6c57eab810e65f00db70a8e7db2adfb
24,Repay,1.0,1782.44,19771016:140:0x0fff7c79550fff135e9ac4a8940a6d44538ffc2f8c1d350c18e5fa787b5e857a:411:411,1714515035,0x0fff7c79550fff135e9ac4a8940a6d44538ffc2f8c1d350c18e5fa787b5e857a,True,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,0xcf4ca05588910d106c67bf4275d358e4dd8f9b68,18,Wrapped Ether,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xcf4ca05588910d106c67bf4275d358e4dd8f9b68
