,action,amount,assetPriceUSD,id,timestamp,txHash,caller_id,pool,reserve_decimals,reserve_name,underlying_asset,user_id
0,Borrow,4.96,1782.44,19993232:60:0x0de81ba609e62680ab3a42f7977a3a6b519c5cdf1001892594083c59974f1aea:155:155,1717199795,0x0de81ba609e62680ab3a42f7977a3a6b519c5cdf1001892594083c59974f1aea,0x893411580e590d62ddbca8a703d61cc4a8c7b2b9,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,18,Wrapped Ether,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xaa357b9f4f0bf7b0332065e141d0c68924615b2c
1,Borrow,1100.0,0.99948666,19993224:108:0x08fd5ca50231c81daeea91259e40e3dbc9f1be2055b0c78aa6adc2c81b4ce5a9:359:359,1717199699,0x08fd5ca50231c81daeea91259e40e3dbc9f1be2055b0c78aa6adc2c81b4ce5a9,0x121aed99754de24bd9ad8fa7d84dbb22fd16fce2,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,6,Tether USD,0xdac17f958d2ee523a2206206994597c13d831ec7,0x121aed99754de24bd9ad8fa7d84dbb22fd16fce2
2,Borrow,25000.0,0.99948666,19993184:1:0x7442c7d9769f2ca2c76dc6f6dfda2bc2356eee8969ffcba8c1e348be11dbccfb:8:8,1717199219,0x7442c7d9769f2ca2c76dc6f6dfda2bc2356eee8969ffcba8c1e348be11dbccfb,0xf0a3ea54a0497f60b0e16da289f006c105209fa0,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,6,Tether USD,0xdac17f958d2ee523a2206206994597c13d831ec7,0xf0a3ea54a0497f60b0e16da289f006c105209fa0
3,Borrow,25000.0,0.99998055,19993180:33:0x86bb2b6005ea12460525d9c58cb92f83814993fd46b801efddd73538e990a133:142:142,1717199171,0x86bb2b6005ea12460525d9c58cb92f83814993fd46b801efddd73538e990a133,0xf0a3ea54a0497f60b0e16da289f006c105209fa0,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,6,USD Coin,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xf0a3ea54a0497f60b0e16da289f006c105209fa0
4,Borrow,44000.0,0.99998055,19993137:124:0x308ab2a5e7409d12a15bae6088137d187bd6570419f178e33b96663528581fcd:275:275,1717198655,0x308ab2a5e7409d12a15bae6088137d187bd6570419f178e33b96663528581fcd,0xacdd5528c1c92b57045041b5278efa06cdade4d8,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,6,USD Coin,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xacdd5528c1c92b57045041b5278efa06cdade4d8
5,Borrow,4.0,1782.44,19993137:120:0x78a878b01f2b4512abc9ceaa1bb17b1d92122a104eccd1083b3356a96b459116:248:248,1717198655,0x78a878b01f2b4512abc9ceaa1bb17b1d92122a104eccd1083b3356a96b459116,0x893411580e590d62ddbca8a703d61cc4a8c7b2b9,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,18,Wrapped Ether,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x3eb74022a3ac1a60e1e23b350fae4a5e91941104
6,Borrow,14739.417846,0.99998055,19993118:25:0xe47abad0369b158015b5f09fa6240d3aa1642d124c7d72bcc0f32ec3bf3b165f:143:143,1717198427,0xe47abad0369b158015b5f09fa6240d3aa1642d124c7d72bcc0f32ec3bf3b165f,0x65c4c0517025ec0843c9146af266a2c5a2d148a2,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,6,USD Coin,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x65c4c0517025ec0843c9146af266a2c5a2d148a2
7,Borrow,10000.0,0.0,19993111:121:0xb1a4d860333e41c83ae9a14c357093cc506e54f6bf8fab09e7ccfb16cbd0d50c:374:374,1717198343,0xb1a4d860333e41c83ae9a14c357093cc506e54f6bf8fab09e7ccfb16cbd0d50c,0xfbb8776298d34f64950f45ac7ba943b45794c39b,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,18,Gho Token,0x40d16fc0246ad3160ccc09b8d0d3a2cd28ae6c2f,0xfbb8776298d34f64950f45ac7ba943b45794c39b
8,Borrow,2000000.0,0.99948666,19993099:45:0x00c30d43bce57f0efc0756d38b8b10e63061aa42db0f9ce567b7b1aba50ac88a:187:187,1717198199,0x00c30d43bce57f0efc0756d38b8b10e63061aa42db0f9ce567b7b1aba50ac88a,0xe83a2de8443b67f47e6ed3bfb3ccea6d5d3636ba,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,6,Tether USD,0xdac17f958d2ee523a2206206994597c13d831ec7,0xe83a2de8443b67f47e6ed3bfb3ccea6d5d3636ba
9,Borrow,30000.0,0.99948666,19993042:124:0xfaa1e9b17eb320ef756442d2ff532538fd088b14238bf4804806fb1163df57e8:303:303,1717197503,0xfaa1e9b17eb320ef756442d2ff532538fd088b14238bf4804806fb1163df57e8,0x2f6767d0dbf0be48a3bcc1b83bb2f503af1af7b0,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,6,Tether USD,0xdac17f958d2ee523a2206206994597c13d831ec7,0x2f6767d0dbf0be48a3bcc1b83bb2f503af1af7b0
10,Borrow,2300.0,0.99948666,19993039:81:0x3112c2307797487adff8dc407e9eda7359459b315666145f71719b66082a0baf:202:202,1717197467,0x3112c2307797487adff8dc407e9eda7359459b315666145f71719b66082a0baf,0x39fabf31b9df91c81f1df75dfeea882ccb6c230b,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,6,Tether USD,0xdac17f958d2ee523a2206206994597c13d831ec7,0x39fabf31b9df91c81f1df75dfeea882ccb6c230b
11,Borrow,7644.0,4.03147247,19993031:67:0x82d21d5d36fc4b2c894d77220bf82f21e52986bf816496ceb0218a4039dbf0a0:107:107,1717197371,0x82d21d5d36fc4b2c894d77220bf82f21e52986bf816496ceb0218a4039dbf0a0,0xfdf1e69202d801a584d620158841decf807348ef,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,18,Balancer,0xba100000625a3754423978a60c9317c58a424e3d,0xfdf1e69202d801a584d620158841decf807348ef
12,Borrow,88917.0,0.99948666,19993029:59:0x1c92641e8c2d6e72ce2c59ad2544cc9864ea4bdee7bf0d28c8e7fe88e7738ffb:182:182,1717197347,0x1c92641e8c2d6e72ce2c59ad2544cc9864ea4bdee7bf0d28c8e7fe88e7738ffb,0x2f6767d0dbf0be48a3bcc1b83bb2f503af1af7b0,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,6,Tether USD,0xdac17f958d2ee523a2206206994597c13d831ec7,0x2f6767d0dbf0be48a3bcc1b83bb2f503af1af7b0
13,Borrow,30000.0,0.99948666,19992998:46:0xcc55a545552a1aa67fa5404724aca495f56a99f480cffc1919e6cce42f2bd54a:192:192,1717196975,0xcc55a545552a1aa67fa5404724aca495f56a99f480cffc1919e6cce42f2bd54a,0x63e6445359753c6f6ceebc0f9796ff08306a7a55,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,6,Tether USD,0xdac17f958d2ee523a2206206994597c13d831ec7,0x63e6445359753c6f6ceebc0f9796ff08306a7a55
14,Borrow,291858.78965,0.99998055,19992980:3:0x797ad0196cd8b26309016c28fdce9e4509adee70a09f619148c53e1f1ac563c1:81:81,1717196759,0x797ad0196cd8b26309016c28fdce9e4509adee70a09f619148c53e1f1ac563c1,0x53d2d9d2b36d2784d80297e6532e3bd965435021,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,6,USD Coin,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x53d2d9d2b36d2784d80297e6532e3bd965435021
15,Borrow,499990.275,0.99998055,19992961:67:0xa2bdb7a4a97786a39daae7cc432e993a6e94c42191db390ceb50f2305fa1fec8:134:134,1717196531,0xa2bdb7a4a97786a39daae7cc432e993a6e94c42191db390ceb50f2305fa1fec8,0x53d2d9d2b36d2784d80297e6532e3bd965435021,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,6,USD Coin,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x53d2d9d2b36d2784d80297e6532e3bd965435021
16,Borrow,200.0,0.99998055,19992956:88:0x5b1860044a55ca0d7d32cc97fea46e4a19573702c52d9ba1f9d0f1a9486e05f1:176:176,1717196471,0x5b1860044a55ca0d7d32cc97fea46e4a19573702c52d9ba1f9d0f1a9486e05f1,0x0b3bd2b54af505fb2f42a0091d047a852bbad157,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,6,USD Coin,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x0b3bd2b54af505fb2f42a0091d047a852bbad157
17,Borrow,3000.0,0.99948666,19992948:160:0x06c579b126ab6ae918c762070aa4d5d36fd71c3dd63b00a7b08a23aa8e9f74cf:463:463,1717196375,0x06c579b126ab6ae918c762070aa4d5d36fd71c3dd63b00a7b08a23aa8e9f74cf,0x1ab2df95b47ea6bc4a2716cca3726fa49382a300,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,6,Tether USD,0xdac17f958d2ee523a2206206994597c13d831ec7,0x1ab2df95b47ea6bc4a2716cca3726fa49382a300
18,Borrow,100000.0,0.99948666,19992896:115:0x5c666c02212c957f442b2b96dadffba7f8293b7e9919c4e862c864dbfc9bc40b:248:248,1717195739,0x5c666c02212c957f442b2b96dadffba7f8293b7e9919c4e862c864dbfc9bc40b,0xdf59ab0bc4e175667b6e2bd77fdc585d088b5a2e,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,6,Tether USD,0xdac17f958d2ee523a2206206994597c13d831ec7,0xdf59ab0bc4e175667b6e2bd77fdc585d088b5a2e
19,Borrow,20000.0,0.0,19992892:40:0xbe733028e346bd05368d0b3254506dfabb8467e1daa12b48039383246a59c341:118:118,1717195691,0xbe733028e346bd05368d0b3254506dfabb8467e1daa12b48039383246a59c341,0x8f204953d37afe4a5e70eac7c396ab37ea1b1aad,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,18,Gho Token,0x40d16fc0246ad3160ccc09b8d0d3a2cd28ae6c2f,0x8f204953d37afe4a5e70eac7c396ab37ea1b1aad
20,Borrow,50000.0,0.0,19992883:117:0x207d8eb226ef2ed81a210068eabe7ae29f4a46075987ad2b91faeaa1e71164a3:338:338,1717195583,0x207d8eb226ef2ed81a210068eabe7ae29f4a46075987ad2b91faeaa1e71164a3,0x91739092c8cb73eddc904f7d0f5a77fe2f66436f,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,18,Gho Token,0x40d16fc0246ad3160ccc09b8d0d3a2cd28ae6c2f,0x91739092c8cb73eddc904f7d0f5a77fe2f66436f
21,Borrow,100000.0,0.99948666,19992854:182:0x39f6688e8912827e3c7892e78f0f75c80b4d26154cb84b69598a3c186fff6d48:425:425,1717195235,0x39f6688e8912827e3c7892e78f0f75c80b4d26154cb84b69598a3c186fff6d48,0xd3dc3e6800f584a562565f8caf2ef4e47863eabc,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,6,Tether USD,0xdac17f958d2ee523a2206206994597c13d831ec7,0xd3dc3e6800f584a562565f8caf2ef4e47863eabc
22,Borrow,4000.0,0.99998055,19992842:171:0x32cc179a9a87080534a0cf4d7ef830936d081f1d7fc6e533826cf699876cb2f1:375:375,1717195091,0x32cc179a9a87080534a0cf4d7ef830936d081f1d7fc6e533826cf699876cb2f1,0xcd864657ccf59baf96b081482e5da298506f2ead,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,6,USD Coin,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xcd864657ccf59baf96b081482e5da298506f2ead
23,Borrow,350000.0,0.99948666,19992817:91:0x3efdb4b6c968ed7e2ac00f6ff1b0a7b6f4d9ef37cba7f0f4a367f288b3aad7c5:315:315,1717194779,0x3efdb4b6c968ed7e2ac00f6ff1b0a7b6f4d9ef37cba7f0f4a367f288b3aad7c5,0xd3dc3e6800f584a562565f8caf2ef4e47863eabc,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,6,Tether USD,0xdac17f958d2ee523a2206206994597c13d831ec7,0xd3dc3e6800f584a562565f8caf2ef4e47863eabc
24,Borrow,15000.0,0.99948666,19992801:110:0x8f820f89bd25edfc389a81bad5f351c9fec96e3e4fba916a7e29c6cfb20f5408:298:298,1717194587,0x8f820f89bd25edfc389a81bad5f351c9fec96e3e4fba916a7e29c6cfb20f5408,0x1691ef8d1e820236e3db1bdfbe1f3535329fda9c,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,6,Tether USD,0xdac17f958d2ee523a2206206994597c13d831ec7,0x1691ef8d1e820236e3db1bdfbe1f3535329fda9c
