,action,amount,assetPriceUSD,id,timestamp,txHash,useATokens,pool,repayer_id,reserve_decimals,reserve_name,underlying_asset,user_id
0,Repay,6002.821235,0.99948666,19993244:130:0x761d2b2751e3e4e9ac1968228e0ad89ed195ca09a5e4caffca89e55eabe357e2:332:332,1717199939,0x761d2b2751e3e4e9ac1968228e0ad89ed195ca09a5e4caffca89e55eabe357e2,False,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,0x58981c1b4c6e735caed9bca6d1caa1c97ae1246a,6,Tether USD,0xdac17f958d2ee523a2206206994597c13d831ec7,0x58981c1b4c6e735caed9bca6d1caa1c97ae1246a
1,Repay,0.00083372,0.0,19993139:70:0x95871c89814f5241a7109464b606fc1c906bdb7192f8b061888c0bae4d369d11:235:235,1717198679,0x95871c89814f5241a7109464b606fc1c906bdb7192f8b061888c0bae4d369d11,False,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,0x02e7b8511831b1b02d9018215a0f8f500ea5c6b3,8,Wrapped BTC,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0x1be776bc2c10cc606d67b24840100d0ea908e329
2,Repay,0.00120258,0.0,19993115:40:0x69d4290bdf06f667a39cbebea4b90f18866214e056651df1b77d15ab87883d00:142:142,1717198391,0x69d4290bdf06f667a39cbebea4b90f18866214e056651df1b77d15ab87883d00,False,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,0x02e7b8511831b1b02d9018215a0f8f500ea5c6b3,8,Wrapped BTC,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0x1be776bc2c10cc606d67b24840100d0ea908e329
3,Repay,300.117328,0.99948666,19993095:115:0xfd78e73758da7cc5bc5dbc87c6578b83ef080ab5eaedfb3035414b30ffad3672:389:389,1717198151,0xfd78e73758da7cc5bc5dbc87c6578b83ef080ab5eaedfb3035414b30ffad3672,False,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,0xf279719f0df5932aa589ebe2955a33634b5a159f,6,Tether USD,0xdac17f958d2ee523a2206206994597c13d831ec7,0xf279719f0df5932aa589ebe2955a33634b5a159f
4,Repay,88734.6408037197,1.00011,19993029:59:0x1c92641e8c2d6e72ce2c59ad2544cc9864ea4bdee7bf0d28c8e7fe88e7738ffb:205:205,1717197347,0x1c92641e8c2d6e72ce2c59ad2544cc9864ea4bdee7bf0d28c8e7fe88e7738ffb,False,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,0x2f6767d0dbf0be48a3bcc1b83bb2f503af1af7b0,18,Dai Stablecoin,0x6b175474e89094c44da98b954eedeac495271d0f,0x2f6767d0dbf0be48a3bcc1b83bb2f503af1af7b0
5,Repay,43936.153667,0.99948666,19992947:87:0x275d32d12618cc9c6becde1c3ed2c21cd1f635692fdac4d2d01664e1f97cf2b9:228:228,1717196363,0x275d32d12618cc9c6becde1c3ed2c21cd1f635692fdac4d2d01664e1f97cf2b9,False,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,0xa6eeb51c2aa5c73388ebed57bc0640e87a76032b,6,Tether USD,0xdac17f958d2ee523a2206206994597c13d831ec7,0xa6eeb51c2aa5c73388ebed57bc0640e87a76032b
6,Repay,28.0,1782.44,19992925:165:0x2cead09a1798c0a3ba5b1e80c835a613a2d2bb3386adc4145e90835fd6cd8f81:349:349,1717196099,0x2cead09a1798c0a3ba5b1e80c835a613a2d2bb3386adc4145e90835fd6cd8f81,False,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,0x893411580e590d62ddbca8a703d61cc4a8c7b2b9,18,Wrapped Ether,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xe175e39f4c0e75504706db498285672ba531281c
7,Repay,5.111986137103288,6.32194,19992885:61:0x309988a2390c2d25031e3f5937de73d2195e739add5bef39d4ffb5b6cb74fec7:190:190,1717195607,0x309988a2390c2d25031e3f5937de73d2195e739add5bef39d4ffb5b6cb74fec7,False,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,0x1be776bc2c10cc606d67b24840100d0ea908e329,18,ChainLink Token,0x514910771af9ca656af840dff83e8264ecf986ca,0x1be776bc2c10cc606d67b24840100d0ea908e329
8,Repay,90584.938817027,0.46273469,19992842:141:0x2081f0aa0e4063d4981dc6167c83826a26c050d0cf86fade0260aeab943bf69c:293:293,1717195091,0x2081f0aa0e4063d4981dc6167c83826a26c050d0cf86fade0260aeab943bf69c,False,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,0x0ffad609d35c4bef104ee245a9c4c891d463aa2a,18,Curve DAO Token,0xd533a949740bb3306d119cc777fa900ba034cd52,0x0ffad609d35c4bef104ee245a9c4c891d463aa2a
9,Repay,3806.169587,0.99998055,19992783:33:0x277881da8f3af55a336794a03d233e3c3ce89438ef106487c9f2768563c85012:137:137,1717194371,0x277881da8f3af55a336794a03d233e3c3ce89438ef106487c9f2768563c85012,False,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,0x3653fe5f0c533a343a9166b5bf90f2a3032e64df,6,USD Coin,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x3653fe5f0c533a343a9166b5bf90f2a3032e64df
10,Repay,6294.358921,0.99948666,19992760:196:0x289a5096161732a5ec550c7f0c625bd56de5d876499d4e439bc8849a5ac965f6:549:549,1717194095,0x289a5096161732a5ec550c7f0c625bd56de5d876499d4e439bc8849a5ac965f6,False,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,0xa6eeb51c2aa5c73388ebed57bc0640e87a76032b,6,Tether USD,0xdac17f958d2ee523a2206206994597c13d831ec7,0xa6eeb51c2aa5c73388ebed57bc0640e87a76032b
11,Repay,250451.373717,0.99948666,19992751:126:0x877174f4fbac5420321f5188cdc653bb22414a2f9f567e9d8f8fad09ec7f6adf:387:387,1717193987,0x877174f4fbac5420321f5188cdc653bb22414a2f9f567e9d8f8fad09ec7f6adf,False,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,0x5b0f8e75f0b12f600e7764498e41608d6d688b35,6,Tether USD,0xdac17f958d2ee523a2206206994597c13d831ec7,0x5b0f8e75f0b12f600e7764498e41608d6d688b35
12,Repay,9522.571921,0.99998055,19992744:100:0x400a127b904cd3cd4d19c0921053b1b6ca7e30abbbfb0fe03459886a63a0415f:332:332,1717193903,0x400a127b904cd3cd4d19c0921053b1b6ca7e30abbbfb0fe03459886a63a0415f,False,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,0xa6eeb51c2aa5c73388ebed57bc0640e87a76032b,6,USD Coin,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xa6eeb51c2aa5c73388ebed57bc0640e87a76032b
13,Repay,253250.155367,0.99948666,19992738:2:0x4a414809d2fa32e81e6d1a0fad8f3f0c6f7816d90318b3c988bfedc1e2272207:51:51,1717193831,0x4a414809d2fa32e81e6d1a0fad8f3f0c6f7816d90318b3c988bfedc1e2272207,False,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,0x182dbccd5b62686b59dd397b8c57fb00daf82ef5,6,Tether USD,0xdac17f958d2ee523a2206206994597c13d831ec7,0x182dbccd5b62686b59dd397b8c57fb00daf82ef5
14,Repay,40003.087,0.99948666,19992701:112:0x6fee1f82fb34a6faabfacc2a9aa434965958a2de768570ff2860dc5e6ca8ed66:349:349,1717193387,0x6fee1f82fb34a6faabfacc2a9aa434965958a2de768570ff2860dc5e6ca8ed66,False,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,0xa6eeb51c2aa5c73388ebed57bc0640e87a76032b,6,Tether USD,0xdac17f958d2ee523a2206206994597c13d831ec7,0xa6eeb51c2aa5c73388ebed57bc0640e87a76032b
