,action,amount,assetPriceUSD,id,timestamp,txHash,pool,reserve_decimals,reserve_name,underlying_asset,to_id,user_id
0,RedeemUnderlying,1000.000041,0.9997,17382258:71:0x3e9dab4372c5ad9b027545b14746ada11a9ce91d656c1906939f8ccad6e45d48:180:180,1685577515,0x3e9dab4372c5ad9b027545b14746ada11a9ce91d656c1906939f8ccad6e45d48,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,6,USD Coin,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x44f505daca14a802248d6b5d577689461ded987c,0x44f505daca14a802248d6b5d577689461ded987c
1,RedeemUnderlying,0.1505679983059907,1782.44,17381802:54:0x2d4490b5a89bddd9e67c644e3cdc8d22759ca946a205202c769ccb37029d1f67:117:117,1685571983,0x2d4490b5a89bddd9e67c644e3cdc8d22759ca946a205202c769ccb37029d1f67,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,18,Wrapped Ether,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xd322a49006fc828f9b5b37ab215f99b4e5cab19c,0xd322a49006fc828f9b5b37ab215f99b4e5cab19c
2,RedeemUnderlying,8.00265951,0.0,17381553:1:0x143d67be1ea60ad8e5e7b5ff660fd81b7f45f0076f141c644feefeec799c6ab2:12:12,1685568935,0x143d67be1ea60ad8e5e7b5ff660fd81b7f45f0076f141c644feefeec799c6ab2,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,8,Wrapped BTC,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0x0fcc4f38a9578a0fb0e58c954c2e6d485f23ed06,0x0fcc4f38a9578a0fb0e58c954c2e6d485f23ed06
3,RedeemUnderlying,513055.606437,0.9997,17381435:186:0xad11930ecd057f0604450a1038ab27b03009bf6c9a5b6ebf4f487f3c2c511826:523:523,1685567495,0xad11930ecd057f0604450a1038ab27b03009bf6c9a5b6ebf4f487f3c2c511826,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,6,USD Coin,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xf90a295da359c27ea2d659678cda4f40103c5d9a,0xf90a295da359c27ea2d659678cda4f40103c5d9a
4,RedeemUnderlying,20.01,1782.44,17381431:127:0x64d69e91a52dedf9df2155d594d7d58debcf352c6ea8ac9fda9c48a5659d8a66:253:253,1685567447,0x64d69e91a52dedf9df2155d594d7d58debcf352c6ea8ac9fda9c48a5659d8a66,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,18,Wrapped Ether,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xd322a49006fc828f9b5b37ab215f99b4e5cab19c,0xd322a49006fc828f9b5b37ab215f99b4e5cab19c
5,RedeemUnderlying,31787.850161,1.00024,17381410:124:0x0c413651638ef88bf1c6cdfd8c674470ff4e8f4c95ef51960152ab3cddf5f43b:269:269,1685567195,0x0c413651638ef88bf1c6cdfd8c674470ff4e8f4c95ef51960152ab3cddf5f43b,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,6,Tether USD,0xdac17f958d2ee523a2206206994597c13d831ec7,0x93c1854b88edb4934e44f65bd2d7a67275c45a11,0x93c1854b88edb4934e44f65bd2d7a67275c45a11
6,RedeemUnderlying,4882.58,1782.44,17380833:120:0x5de973844520b845e93e52c35f335bda52796874ec41d339936374c1ee368603:278:278,1685560199,0x5de973844520b845e93e52c35f335bda52796874ec41d339936374c1ee368603,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,18,Wrapped Ether,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xd322a49006fc828f9b5b37ab215f99b4e5cab19c,0xd322a49006fc828f9b5b37ab215f99b4e5cab19c
7,RedeemUnderlying,15.841997133962272,0.0,17380773:135:0x55a1ce810159d611d2448a7b35e9cfc6f80344174a3615ee9428975e824d594d:338:338,1685559479,0x55a1ce810159d611d2448a7b35e9cfc6f80344174a3615ee9428975e824d594d,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,18,Rocket Pool ETH,0xae78736cd615f374d3085123a210448e74fc6393,0x53eaf3d7eb9272554d208e8680aabff275c51376,0x53eaf3d7eb9272554d208e8680aabff275c51376
8,RedeemUnderlying,100.0,1782.44,17380760:146:0xc875d24dc47739143df87dd059c2956970c3e651f0a43f17bc5110de2f9d0e0c:299:299,1685559323,0xc875d24dc47739143df87dd059c2956970c3e651f0a43f17bc5110de2f9d0e0c,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,18,Wrapped Ether,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xd322a49006fc828f9b5b37ab215f99b4e5cab19c,0xd322a49006fc828f9b5b37ab215f99b4e5cab19c
9,RedeemUnderlying,27.0,0.0,17380755:125:0x5c46f2bf86436d6a00411d8555d78e0fabf43db1c4402e2061b96a90bc67c68e:307:307,1685559263,0x5c46f2bf86436d6a00411d8555d78e0fabf43db1c4402e2061b96a90bc67c68e,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,18,Rocket Pool ETH,0xae78736cd615f374d3085123a210448e74fc6393,0x53eaf3d7eb9272554d208e8680aabff275c51376,0x53eaf3d7eb9272554d208e8680aabff275c51376
10,RedeemUnderlying,23.0,0.0,17380743:157:0xdd835514068e517e0b1f68b9decd39d2ad697e33b8e47dff72df6a5c1598fc3c:359:359,1685559119,0xdd835514068e517e0b1f68b9decd39d2ad697e33b8e47dff72df6a5c1598fc3c,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,18,Rocket Pool ETH,0xae78736cd615f374d3085123a210448e74fc6393,0x53eaf3d7eb9272554d208e8680aabff275c51376,0x53eaf3d7eb9272554d208e8680aabff275c51376
11,RedeemUnderlying,20.0,0.0,17380703:93:0x74f6f1f23c1622b27df97d2b5ccdaee6d8d11ee80afd61d8d4275295e717c84d:161:161,1685558639,0x74f6f1f23c1622b27df97d2b5ccdaee6d8d11ee80afd61d8d4275295e717c84d,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,18,Rocket Pool ETH,0xae78736cd615f374d3085123a210448e74fc6393,0x53eaf3d7eb9272554d208e8680aabff275c51376,0x53eaf3d7eb9272554d208e8680aabff275c51376
12,RedeemUnderlying,20.0,0.0,17380690:101:0xca5644e5c72f27a7a7d05bef2816b5909e35dd388d7a2be0d8dbc1f0a8a6e968:277:277,1685558483,0xca5644e5c72f27a7a7d05bef2816b5909e35dd388d7a2be0d8dbc1f0a8a6e968,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,18,Rocket Pool ETH,0xae78736cd615f374d3085123a210448e74fc6393,0x53eaf3d7eb9272554d208e8680aabff275c51376,0x53eaf3d7eb9272554d208e8680aabff275c51376
13,RedeemUnderlying,17640348.082981117,1.00011,17379998:93:0x2062368941a77c0822f79d5b875ea00dd37159711cbf77be9069b8f2c43671c8:238:238,1685550023,0x2062368941a77c0822f79d5b875ea00dd37159711cbf77be9069b8f2c43671c8,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,18,Dai Stablecoin,0x6b175474e89094c44da98b954eedeac495271d0f,0xc1cd3654ab3b37e0bc26bafb5ae4c096892d0b0c,0x01f80c39936ac2701f42a5b553cff177229d22bb
14,RedeemUnderlying,70.03608,0.9997,17379843:132:0xf335650b5c8abf2651a39c2a0b0874d07091b19ad264c170d5616288e4097343:263:263,1685548115,0xf335650b5c8abf2651a39c2a0b0874d07091b19ad264c170d5616288e4097343,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,6,USD Coin,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x0b95297b97e4c7cb4c450f784db723640a40a158,0x0b95297b97e4c7cb4c450f784db723640a40a158
