,action,borrowAssetPriceUSD,collateralAmount,collateralAssetPriceUSD,id,liquidator,principalAmount,timestamp,txHash,collateral_reserve_decimals,collateral_reserve_name,collateralReserve.underlyingAsset,pool,principal_reserve_decimals,principal_reserve_name,principalReserve.underlyingAsset,user_id
0,LiquidationCall,1.00001655,0.01341736,0.0,17808411:63:0x750a24000ff57c23eefc6a2b79d6f8079432c2561589d1fb90af973d1cca014e:141:141,0x594efbe5a71a10a958d812b4c65f3dfa60922a15,375.150667,1690751135,0x750a24000ff57c23eefc6a2b79d6f8079432c2561589d1fb90af973d1cca014e,8,Wrapped BTC,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,6,Tether USD,0xdac17f958d2ee523a2206206994597c13d831ec7,0xad591a6d35237dada634d43c1c9a5b10d6ed36f6
1,LiquidationCall,1.00011,18327.31731148575,0.62598122,17808032:3:0xd4d51afbde0ca99dd53912bbfa9f9f19ed2fb6453ed2377b47c5b0fb87590a76:23:23,0xb206ebe579be55f5b57119bb2e7cc63708eda1aa,10676.587972554766,1690746539,0xd4d51afbde0ca99dd53912bbfa9f9f19ed2fb6453ed2377b47c5b0fb87590a76,18,Curve DAO Token,0xd533a949740bb3306d119cc777fa900ba034cd52,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,18,Dai Stablecoin,0x6b175474e89094c44da98b954eedeac495271d0f,0x34c9d6229de541e2fa77e60835f5106d5842bbb3
2,LiquidationCall,1.0,0.03497415,0.0,17781862:13:0x8a78ea0a4119fd64275cc29b225d1b60cc17551596f76672d6a36df7d1ce3739:58:58,0x1a2d11cb90d1de13bb81ee7b772a08ac234a8058,985.222888,1690430159,0x8a78ea0a4119fd64275cc29b225d1b60cc17551596f76672d6a36df7d1ce3739,8,Wrapped BTC,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,6,USD Coin,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x36e61ac5a3297da0d9bffbe7827b3d98bc59c955
3,LiquidationCall,6.32194,0.4611106497381089,1782.44,17781268:4:0x2e0be201e11a5d1f959e6db9728c166cd0493b691264a7842536effd7b285ab4:27:27,0x1a2d11cb90d1de13bb81ee7b772a08ac234a8058,104.54314037020376,1690422959,0x2e0be201e11a5d1f959e6db9728c166cd0493b691264a7842536effd7b285ab4,18,Wrapped Ether,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,18,ChainLink Token,0x514910771af9ca656af840dff83e8264ecf986ca,0x7420fa58ba44e1141d5e9adb6903be549f7ce0b5
4,LiquidationCall,0.99990877,0.3322000430267155,0.0,17762628:9:0xb15e5e176bb8483d20d6318464749dc4809939c43aeb0fd3534b054f3bb4b1c5:76:76,0x1a2d11cb90d1de13bb81ee7b772a08ac234a8058,655.308816,1690197671,0xb15e5e176bb8483d20d6318464749dc4809939c43aeb0fd3534b054f3bb4b1c5,18,Wrapped liquid staked Ether 2.0,0x7f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,6,USD Coin,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xeaba588d42d7f13048bd5795372530ac98cbd34f
5,LiquidationCall,0.99990877,0.8110957403297681,1782.44,17762188:19:0x519d7c5ccc98fd394817517382c64b9594738e4df739853db28a8cc719114de2:174:174,0x1a2d11cb90d1de13bb81ee7b772a08ac234a8058,1427.160555,1690192319,0x519d7c5ccc98fd394817517382c64b9594738e4df739853db28a8cc719114de2,18,Wrapped Ether,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,6,USD Coin,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xb655a9ecee1dd4eee62dcb4c2b42a7e2fab63a51
6,LiquidationCall,1.00002967,11.95763111,0.0,17762183:2:0x6887c14720a617db070c3d6c3d36f9d908d9038e31f6a1e44023f30538d227ea:22:22,0x80d4230c0a68fc59cb264329d3a717fcaa472a13,332878.9304,1690192259,0x6887c14720a617db070c3d6c3d36f9d908d9038e31f6a1e44023f30538d227ea,8,Wrapped BTC,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,6,Tether USD,0xdac17f958d2ee523a2206206994597c13d831ec7,0x543ab47ac1600329d48e762972511d58c8a83756
7,LiquidationCall,0.99990877,1.4693964377636404,1782.44,17762182:107:0xa88528a8d0865330158e40ebf86d6992ff583fd20325617a37e4c457c09244ca:184:184,0x80d4230c0a68fc59cb264329d3a717fcaa472a13,2604.739301,1690192247,0xa88528a8d0865330158e40ebf86d6992ff583fd20325617a37e4c457c09244ca,18,Wrapped Ether,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,6,USD Coin,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x9f903780044088e5540191c52af6e9ea2283c37d
8,LiquidationCall,1.00011,2.016410846686389,1782.44,17751893:10:0xc0d08f51d97802490bf8ac298573f66ea2051abd8959c67e95be213ac5b170c3:84:84,0xd050e0a4838d74769228b49dff97241b4ef3805d,3586.701559577081,1690067891,0xc0d08f51d97802490bf8ac298573f66ea2051abd8959c67e95be213ac5b170c3,18,Wrapped Ether,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,18,Dai Stablecoin,0x6b175474e89094c44da98b954eedeac495271d0f,0xae1704ea3747e4861fb7283a9eaa8c70b925295c
9,LiquidationCall,1.00011,0.5884251256258579,1782.44,17735702:17:0x421900e336c1d0a9d34ed3fefb608df112a0d9c851edd5d8324de659763ddae1:59:59,0x1a2d11cb90d1de13bb81ee7b772a08ac234a8058,1060.6344936779033,1689872135,0x421900e336c1d0a9d34ed3fefb608df112a0d9c851edd5d8324de659763ddae1,18,Wrapped Ether,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,18,Dai Stablecoin,0x6b175474e89094c44da98b954eedeac495271d0f,0x7420fa58ba44e1141d5e9adb6903be549f7ce0b5
