,action,amount,assetPriceUSD,id,timestamp,txHash,useATokens,pool,repayer_id,reserve_decimals,reserve_name,underlying_asset,user_id
0,Repay,10000.0,1.0,18037981:120:0xac44cbae0930d27fd3c05ea999fe338ae4a67a65d5b0ea49f3ae07ca3ce9f3bd:399:399,1693526327,0xac44cbae0930d27fd3c05ea999fe338ae4a67a65d5b0ea49f3ae07ca3ce9f3bd,False,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,0xbf1cfce65043191daa5f701398bc6d3112d47e29,6,USD Coin,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xbf1cfce65043191daa5f701398bc6d3112d47e29
1,Repay,0.252539,1.0,18037968:118:0xc0d21fc6c84db6f82de8dc1b30f04ffe6dd6d6f2bfe5083fa20752c542f02d04:497:497,1693526171,0xc0d21fc6c84db6f82de8dc1b30f04ffe6dd6d6f2bfe5083fa20752c542f02d04,False,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,0x8f30adaa6950b31f675bf8a709bc23f55aa24735,6,USD Coin,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x0538b2d1281f44ddba08ba5e371dd223bf486d20
2,Repay,250.489206,1.0,18037968:118:0xc0d21fc6c84db6f82de8dc1b30f04ffe6dd6d6f2bfe5083fa20752c542f02d04:486:486,1693526171,0xc0d21fc6c84db6f82de8dc1b30f04ffe6dd6d6f2bfe5083fa20752c542f02d04,False,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,0x8f30adaa6950b31f675bf8a709bc23f55aa24735,6,Tether USD,0xdac17f958d2ee523a2206206994597c13d831ec7,0x0538b2d1281f44ddba08ba5e371dd223bf486d20
3,Repay,0.0028061918186016,1782.44,18037967:49:0x87d36c3ca1990e5d7ee3ad215290678dfa782ebc945b1868bf8ad5a6b2bb1231:125:125,1693526159,0x87d36c3ca1990e5d7ee3ad215290678dfa782ebc945b1868bf8ad5a6b2bb1231,False,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,0x8f30adaa6950b31f675bf8a709bc23f55aa24735,18,Wrapped Ether,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x31668e531667a523a934d0a4a81ebb6cab4fd207
4,Repay,4614.958171,1.0,18037967:49:0x87d36c3ca1990e5d7ee3ad215290678dfa782ebc945b1868bf8ad5a6b2bb1231:114:114,1693526159,0x87d36c3ca1990e5d7ee3ad215290678dfa782ebc945b1868bf8ad5a6b2bb1231,False,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,0x8f30adaa6950b31f675bf8a709bc23f55aa24735,6,USD Coin,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x31668e531667a523a934d0a4a81ebb6cab4fd207
5,Repay,0.0017762,1.00011,18037965:118:0x2760d806dde62479e2d397360a8292944d6a17a065ea17f172b0707a33567c53:683:683,1693526135,0x2760d806dde62479e2d397360a8292944d6a17a065ea17f172b0707a33567c53,False,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,0xd107dde5c73eb51a5722e8374181f4f613fb1ea4,18,Dai Stablecoin,0x6b175474e89094c44da98b954eedeac495271d0f,0xd107dde5c73eb51a5722e8374181f4f613fb1ea4
6,Repay,6624.76,1.00011,18037961:21:0x7df1c94d3ccc1f5a9fbc96dfe5dbe3f386603b4d4bb95546e44182653b107af1:97:97,1693526087,0x7df1c94d3ccc1f5a9fbc96dfe5dbe3f386603b4d4bb95546e44182653b107af1,False,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,0xd107dde5c73eb51a5722e8374181f4f613fb1ea4,18,Dai Stablecoin,0x6b175474e89094c44da98b954eedeac495271d0f,0xd107dde5c73eb51a5722e8374181f4f613fb1ea4
7,Repay,0.0021634062001897,1782.44,18037938:9:0xc464ee95875872476d9642b4108d2557801b68320a5694f0cd285ba19ef7c1ac:97:97,1693525811,0xc464ee95875872476d9642b4108d2557801b68320a5694f0cd285ba19ef7c1ac,False,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,0x8f30adaa6950b31f675bf8a709bc23f55aa24735,18,Wrapped Ether,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x31668e531667a523a934d0a4a81ebb6cab4fd207
8,Repay,3558.7663820462285,1.00011,18037938:9:0xc464ee95875872476d9642b4108d2557801b68320a5694f0cd285ba19ef7c1ac:86:86,1693525811,0xc464ee95875872476d9642b4108d2557801b68320a5694f0cd285ba19ef7c1ac,False,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,0x8f30adaa6950b31f675bf8a709bc23f55aa24735,18,Dai Stablecoin,0x6b175474e89094c44da98b954eedeac495271d0f,0x31668e531667a523a934d0a4a81ebb6cab4fd207
9,Repay,2500.511982174376,0.0,18037665:62:0x0daa062f8b5e10ce55be60a53d8447e216d3e0f9807e3da45a1c63808cff5471:86:86,1693522499,0x0daa062f8b5e10ce55be60a53d8447e216d3e0f9807e3da45a1c63808cff5471,False,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,0x481155c1861f73af4f31e6c1e703c37866bd4131,18,Gho Token,0x40d16fc0246ad3160ccc09b8d0d3a2cd28ae6c2f,0x481155c1861f73af4f31e6c1e703c37866bd4131
10,Repay,20.05743,1.0,18037614:147:0xc6ef6cd47cb02326d0d1130af734ba84b65ed360c3ca28e0de53a19cf07d0db6:448:448,1693521887,0xc6ef6cd47cb02326d0d1130af734ba84b65ed360c3ca28e0de53a19cf07d0db6,False,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,0x1cf071913c9faad4897c8c969392304129c3c379,6,Tether USD,0xdac17f958d2ee523a2206206994597c13d831ec7,0x1cf071913c9faad4897c8c969392304129c3c379
