,action,amount,assetPriceUSD,id,timestamp,txHash,pool,reserve_decimals,reserve_name,underlying_asset,to_id,user_id
0,RedeemUnderlying,560.7106352930396,0.0,16730037:53:0x568a764b6887e96075acb59d838cf63b09940cc475ec96ce411aa7b469139bb6:115:115,1677628391,0x568a764b6887e96075acb59d838cf63b09940cc475ec96ce411aa7b469139bb6,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,18,Wrapped liquid staked Ether 2.0,0x7f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,0x5baac7ccda079839c9524b90df81720834fc039f,0x5baac7ccda079839c9524b90df81720834fc039f
1,RedeemUnderlying,10.0,1611.01128294,16729989:96:0x63a70822810895b644f3e82d36f45d3bcbafe48ab8f9396c5125382fe0f3b346:208:208,1677627779,0x63a70822810895b644f3e82d36f45d3bcbafe48ab8f9396c5125382fe0f3b346,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,18,Wrapped Ether,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x872fbcb1b582e8cd0d0dd4327fbfa0b4c2730995,0x872fbcb1b582e8cd0d0dd4327fbfa0b4c2730995
2,RedeemUnderlying,66939.116733,0.99986129,16729944:127:0x4996166e5e80b590b78b2155bfe1b911369193539f6926f0619d4608023d7a2c:379:379,1677627227,0x4996166e5e80b590b78b2155bfe1b911369193539f6926f0619d4608023d7a2c,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,6,USD Coin,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x158485d899f0fb3e1a48bf772489b8e6c2449d5b,0x158485d899f0fb3e1a48bf772489b8e6c2449d5b
3,RedeemUnderlying,0.2230070493622377,1611.01128294,16729906:126:0x31377b4429fc8fbbb1ec55123e44dda337c84501857580399cfdce879e2eab03:292:292,1677626771,0x31377b4429fc8fbbb1ec55123e44dda337c84501857580399cfdce879e2eab03,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,18,Wrapped Ether,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xd322a49006fc828f9b5b37ab215f99b4e5cab19c,0xd322a49006fc828f9b5b37ab215f99b4e5cab19c
4,RedeemUnderlying,30.0,1611.01128294,16729840:139:0x4872d5d84b9f73c36e8a73d80b6015fc37e56ae09a46d3318fb88d3ac0ffc37a:261:261,1677625979,0x4872d5d84b9f73c36e8a73d80b6015fc37e56ae09a46d3318fb88d3ac0ffc37a,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,18,Wrapped Ether,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xd322a49006fc828f9b5b37ab215f99b4e5cab19c,0xd322a49006fc828f9b5b37ab215f99b4e5cab19c
5,RedeemUnderlying,40.0,0.0,16729810:149:0x0fc31eb3fc6d309a605da6d76c1856821dbfb3716f8d9af947c2dd46eae4f607:247:247,1677625619,0x0fc31eb3fc6d309a605da6d76c1856821dbfb3716f8d9af947c2dd46eae4f607,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,18,Wrapped liquid staked Ether 2.0,0x7f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,0x5baac7ccda079839c9524b90df81720834fc039f,0x5baac7ccda079839c9524b90df81720834fc039f
6,RedeemUnderlying,100000.0,1.0001,16729692:70:0xaa1f19307ff8f733866534cfa568da4386eee38c9b387df2c72ea7c7ca7773ad:154:154,1677624179,0xaa1f19307ff8f733866534cfa568da4386eee38c9b387df2c72ea7c7ca7773ad,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,6,Tether USD,0xdac17f958d2ee523a2206206994597c13d831ec7,0x7e35fe41789a6bc7668b8c5a44928b29ed7f41e2,0x7e35fe41789a6bc7668b8c5a44928b29ed7f41e2
7,RedeemUnderlying,0.9923982727691636,0.0,16729666:116:0xdec52acc68f0c66d862d3d56e563f85424f945d16b86a5a2138f9ebee5b36835:410:410,1677623855,0xdec52acc68f0c66d862d3d56e563f85424f945d16b86a5a2138f9ebee5b36835,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,18,Coinbase Wrapped Staked ETH,0xbe9895146f7af43049ca1c1ae358b0541ea49704,0x872fbcb1b582e8cd0d0dd4327fbfa0b4c2730995,0x872fbcb1b582e8cd0d0dd4327fbfa0b4c2730995
8,RedeemUnderlying,1.0005474285620934,1605.45,16729621:69:0x3005771df8bcc628fb7eceb2454d4fe3c4388bb1ed303a590d88b4d6df49c926:278:278,1677623315,0x3005771df8bcc628fb7eceb2454d4fe3c4388bb1ed303a590d88b4d6df49c926,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,18,Wrapped Ether,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xd322a49006fc828f9b5b37ab215f99b4e5cab19c,0xd322a49006fc828f9b5b37ab215f99b4e5cab19c
9,RedeemUnderlying,653.99631376,77.21769824,16729531:98:0x94acb8337c85ee26f82b0e3b240eede34e20d73befb958da769235dcebac0950:225:225,1677622223,0x94acb8337c85ee26f82b0e3b240eede34e20d73befb958da769235dcebac0950,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,18,Aave Token,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,0x94ee11855595a6a355c93eb938b87b08b13b57b7,0x94ee11855595a6a355c93eb938b87b08b13b57b7
