,action,amount,assetPriceUSD,id,timestamp,txHash,caller_id,pool,reserve_decimals,reserve_name,underlying_asset,user_id
0,Supply,0.05656118,0.0,16730060:12:0x4708ae165754a136141e6a5daa0742e8199cfb47254e1dba506361e0e3c6b8cf:69:69,1677628667,0x4708ae165754a136141e6a5daa0742e8199cfb47254e1dba506361e0e3c6b8cf,0x1b7a9c831b4f2088fa6eae337088ae2fc9913ef5,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,18,Coinbase Wrapped Staked ETH,0xbe9895146f7af43049ca1c1ae358b0541ea49704,0x1b7a9c831b4f2088fa6eae337088ae2fc9913ef5
1,Supply,13.621839091642553,0.0,16730051:94:0xeceda869c5d7fd62724df9ca31e6bc74519bba2365445732379a5be44160e75a:241:241,1677628559,0xeceda869c5d7fd62724df9ca31e6bc74519bba2365445732379a5be44160e75a,0x003a85c562730b196f7cba202a2515f2ff855736,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,18,Coinbase Wrapped Staked ETH,0xbe9895146f7af43049ca1c1ae358b0541ea49704,0x003a85c562730b196f7cba202a2515f2ff855736
2,Supply,8.993448165048715,0.0,16729989:96:0x63a70822810895b644f3e82d36f45d3bcbafe48ab8f9396c5125382fe0f3b346:226:226,1677627779,0x63a70822810895b644f3e82d36f45d3bcbafe48ab8f9396c5125382fe0f3b346,0x872fbcb1b582e8cd0d0dd4327fbfa0b4c2730995,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,18,Wrapped liquid staked Ether 2.0,0x7f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,0xc76f39917e38426515ed15376e0b518574e67f05
3,Supply,48.50178282,0.0,16729899:110:0x3c233b0810b77e7955375c68d87420c7f5b104a54d7dcb29da703657934562f5:221:221,1677626687,0x3c233b0810b77e7955375c68d87420c7f5b104a54d7dcb29da703657934562f5,0x7421c1ed16b400e4868ce696452c3c985f8cd04d,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,8,Wrapped BTC,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0x7421c1ed16b400e4868ce696452c3c985f8cd04d
4,Supply,1e-05,1611.01128294,16729818:222:0x989c9f044dd33b3e04fd9d5775e0e4c1744237bcbff52be6199ef6cac7ea79e1:455:455,1677625715,0x989c9f044dd33b3e04fd9d5775e0e4c1744237bcbff52be6199ef6cac7ea79e1,0xd322a49006fc828f9b5b37ab215f99b4e5cab19c,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,18,Wrapped Ether,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xf58d15f9913829e1b61e92399dc77b082e6825a1
5,Supply,0.001,1611.01128294,16729772:152:0x5818f477ab006f52bc0aa6b0e74fa79f592541d6a6d66d105a06cdf82fc7f7dd:409:409,1677625151,0x5818f477ab006f52bc0aa6b0e74fa79f592541d6a6d66d105a06cdf82fc7f7dd,0x03aa122abab15aa852b1450596dbacd2345317bd,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,18,Wrapped Ether,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x03aa122abab15aa852b1450596dbacd2345317bd
6,Supply,2.00494096,0.0,16729694:70:0x608fe88f6f6c35acebf3fdd8472afe7e607eed6b1a3006bd5a5e8d4bb82b763a:137:137,1677624203,0x608fe88f6f6c35acebf3fdd8472afe7e607eed6b1a3006bd5a5e8d4bb82b763a,0x35f491de23ffbc97ed1811879e48ee8b34a6f8e2,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,8,Wrapped BTC,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0x35f491de23ffbc97ed1811879e48ee8b34a6f8e2
7,Supply,1.0043183944838323,1605.45,16729666:116:0xdec52acc68f0c66d862d3d56e563f85424f945d16b86a5a2138f9ebee5b36835:396:396,1677623855,0xdec52acc68f0c66d862d3d56e563f85424f945d16b86a5a2138f9ebee5b36835,0x872fbcb1b582e8cd0d0dd4327fbfa0b4c2730995,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,18,Wrapped Ether,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xd814e1b7cc203ff6ca4358bf4aa3ce9771fedc68
8,Supply,0.01,1605.45,16729616:127:0xa479dd512f9a05cdbf7ce1aceae50f2bb3f1c7f7220e7a4fe83c442740f23f67:460:460,1677623255,0xa479dd512f9a05cdbf7ce1aceae50f2bb3f1c7f7220e7a4fe83c442740f23f67,0xd322a49006fc828f9b5b37ab215f99b4e5cab19c,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,18,Wrapped Ether,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x0a482b61162e950e4347c17e07721eb3fdb7d321
9,Supply,0.40035927,0.0,16729592:88:0x2774d660298bc4e8363a3d09c773ceea875abefa7a3ca779e65894aa81c651a3:203:203,1677622967,0x2774d660298bc4e8363a3d09c773ceea875abefa7a3ca779e65894aa81c651a3,0xb78b0cfa23adbd72acfc661f724bb05098cee2b0,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,8,Wrapped BTC,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0xb78b0cfa23adbd72acfc661f724bb05098cee2b0
10,Supply,0.458,1605.45,16729517:113:0xc26e25fefd8254b34c6d67be3513bb63c41174e3304bdfb39229eb1f81dc5073:280:280,1677622055,0xc26e25fefd8254b34c6d67be3513bb63c41174e3304bdfb39229eb1f81dc5073,0xc15e011b8e117fba8cc241c70950fc79f515ab3e,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,18,Wrapped Ether,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xc15e011b8e117fba8cc241c70950fc79f515ab3e
11,Supply,157.7238094,0.0,16729516:147:0x03fb7f96fbcc37516e7996cb7efe9362efde10866c3f6b65fa3dd1016e6c3460:362:362,1677622043,0x03fb7f96fbcc37516e7996cb7efe9362efde10866c3f6b65fa3dd1016e6c3460,0x6e7e9551fecc873f9ca0b33e3ebb439ec0a16287,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,18,Coinbase Wrapped Staked ETH,0xbe9895146f7af43049ca1c1ae358b0541ea49704,0x6e7e9551fecc873f9ca0b33e3ebb439ec0a16287
12,Supply,0.63,1604.37,16729385:110:0x0a15d53451339ecc628d793cb59f2fe41d40a82e31596f27d7c6c125343bf00d:232:232,1677620459,0x0a15d53451339ecc628d793cb59f2fe41d40a82e31596f27d7c6c125343bf00d,0xd322a49006fc828f9b5b37ab215f99b4e5cab19c,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,18,Wrapped Ether,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x77190475f389f0af31a8220881a834a26127c883
13,Supply,7.535068410189171,1604.37,16729374:75:0x684c1501d9ab1792e1c457b2e42016b1b2471d896d91c8578622643085bb4dec:364:364,1677620315,0x684c1501d9ab1792e1c457b2e42016b1b2471d896d91c8578622643085bb4dec,0xb748952c7bc638f31775245964707bcc5ddfabfc,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,18,Wrapped Ether,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x35af2f44121e46e10bfb4223fb3094f5f248cc50
14,Supply,0.2211195,1613.05208,16729347:145:0x0c1765afc80704c43fff0f5cd0bc74611527d6dddef8211d89b87fb61d1938c3:347:347,1677619991,0x0c1765afc80704c43fff0f5cd0bc74611527d6dddef8211d89b87fb61d1938c3,0xd322a49006fc828f9b5b37ab215f99b4e5cab19c,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,18,Wrapped Ether,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x77190475f389f0af31a8220881a834a26127c883
15,Supply,15.0,1630.47,16729179:106:0x6531aae16920fcd9732dacd2efe6836f1f33bb7270eb06666c4b4d0fb7076175:214:214,1677617939,0x6531aae16920fcd9732dacd2efe6836f1f33bb7270eb06666c4b4d0fb7076175,0xd322a49006fc828f9b5b37ab215f99b4e5cab19c,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,18,Wrapped Ether,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x04fe8cebdeb7ab2e8b05a6d9a646156744ddc5b6
16,Supply,0.648,78.83,16729164:295:0x1df76e20dd4fc283de19372f620a8bec845a850979709ab87e4846c25dfafa67:656:656,1677617759,0x1df76e20dd4fc283de19372f620a8bec845a850979709ab87e4846c25dfafa67,0xfe0353a2b8684317507ea80af03f6af92498ddd0,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,18,Aave Token,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,0xfe0353a2b8684317507ea80af03f6af92498ddd0
17,Supply,449792.957239,1.0001,16729123:88:0xc186f0f25bc67c06843035480edbe15bb2b6727f1bfe8cf14c60cb72737a2654:294:294,1677617243,0xc186f0f25bc67c06843035480edbe15bb2b6727f1bfe8cf14c60cb72737a2654,0x7e35fe41789a6bc7668b8c5a44928b29ed7f41e2,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,6,Tether USD,0xdac17f958d2ee523a2206206994597c13d831ec7,0x7e35fe41789a6bc7668b8c5a44928b29ed7f41e2
18,Supply,10.0,1628.83,16729083:75:0x62304c8ad5e5ad2711408376c08569ea1b6cf5115b15b03749ee6f732da24f87:159:159,1677616763,0x62304c8ad5e5ad2711408376c08569ea1b6cf5115b15b03749ee6f732da24f87,0xd322a49006fc828f9b5b37ab215f99b4e5cab19c,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,18,Wrapped Ether,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x2d3178af3dfbb679716cc14e245be0a9e5945500
19,Supply,0.04390163,0.0,16729083:103:0x45d37a1393a8079e7317843e12f9cd367037917e8f19f5e0d2089a5a5350faa0:220:220,1677616763,0x45d37a1393a8079e7317843e12f9cd367037917e8f19f5e0d2089a5a5350faa0,0x23e34982662c3ee8f3059559be126fd2fa4b2430,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,8,Wrapped BTC,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0x23e34982662c3ee8f3059559be126fd2fa4b2430
20,Supply,1.0,1628.83,16728905:122:0x85e9e7cfa788c1926783059e55002763562096574ca16257e05c696739f1fb02:348:348,1677614567,0x85e9e7cfa788c1926783059e55002763562096574ca16257e05c696739f1fb02,0xd322a49006fc828f9b5b37ab215f99b4e5cab19c,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,18,Wrapped Ether,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x2c667ca28a3c9a38d53cea38157f2021e93975a6
21,Supply,700.0,1644.29,16728354:35:0x5d5658ccef140e90d761a5de6d8d86b0422b2a519533e528816617a776f23291:84:84,1677607883,0x5d5658ccef140e90d761a5de6d8d86b0422b2a519533e528816617a776f23291,0xd322a49006fc828f9b5b37ab215f99b4e5cab19c,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,18,Wrapped Ether,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x702a39a9d7d84c6b269efaa024dff4037499bba9
22,Supply,0.001,1636.7276,16728265:108:0x728d10bbb859295514ca378a90b19ee1d380275f8276d81b35d3c1e587b0cb93:305:305,1677606803,0x728d10bbb859295514ca378a90b19ee1d380275f8276d81b35d3c1e587b0cb93,0xd9b415a727c9506b2487788d7693dee5e5cd7677,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,18,Wrapped Ether,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xd9b415a727c9506b2487788d7693dee5e5cd7677
23,Supply,0.001,1636.7276,16728253:123:0x49d74833042746eeffafc385a5fe6a6e0c44807b0c8c5c68845e5406935b4d2f:345:345,1677606659,0x49d74833042746eeffafc385a5fe6a6e0c44807b0c8c5c68845e5406935b4d2f,0xd9b415a727c9506b2487788d7693dee5e5cd7677,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,18,Wrapped Ether,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xd9b415a727c9506b2487788d7693dee5e5cd7677
