,action,amount,assetPriceUSD,id,timestamp,txHash,pool,reserve_decimals,reserve_name,underlying_asset,to_id,user_id
0,RedeemUnderlying,2.0012607622804683,1827.86,16950549:181:0xc3227b94469fd201661542cc3465448a78fb829b201ca78e5a66c3e4c4a67859:402:402,1680306551,0xc3227b94469fd201661542cc3465448a78fb829b201ca78e5a66c3e4c4a67859,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,18,Wrapped Ether,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xd322a49006fc828f9b5b37ab215f99b4e5cab19c,0xd322a49006fc828f9b5b37ab215f99b4e5cab19c
1,RedeemUnderlying,98.5911121498349,0.0,16950471:105:0x0a574d5115dcc9f356785e61aca2576085302f1f61ba4af4e61c94a2e6d85099:245:245,1680305579,0x0a574d5115dcc9f356785e61aca2576085302f1f61ba4af4e61c94a2e6d85099,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,18,Rocket Pool ETH,0xae78736cd615f374d3085123a210448e74fc6393,0xe7c5ff8b017f48a2275a3f9f4f01a1e664cb81ee,0xe7c5ff8b017f48a2275a3f9f4f01a1e664cb81ee
2,RedeemUnderlying,79.9458129967776,0.0,16950425:122:0xce5a9e9ff53cb6faba9dcd775fb0d249f26cb860d0ea5c3d0067f5e2e0231f74:213:213,1680305015,0xce5a9e9ff53cb6faba9dcd775fb0d249f26cb860d0ea5c3d0067f5e2e0231f74,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,18,Wrapped liquid staked Ether 2.0,0x7f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,0xe7c5ff8b017f48a2275a3f9f4f01a1e664cb81ee,0xe7c5ff8b017f48a2275a3f9f4f01a1e664cb81ee
3,RedeemUnderlying,50.0,1.000334,16950421:93:0x00aeaa66b62f45f4e024b32802c68c82a5e759ddf8ddcae4358a38ed14522a91:175:175,1680304967,0x00aeaa66b62f45f4e024b32802c68c82a5e759ddf8ddcae4358a38ed14522a91,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,6,Tether USD,0xdac17f958d2ee523a2206206994597c13d831ec7,0x2c3b941f40bfef0d4e0711914d2eed9eb60151ff,0x2c3b941f40bfef0d4e0711914d2eed9eb60151ff
4,RedeemUnderlying,70.04188642111096,1827.86,16950347:124:0xd582098f4570135d7334768b566c38c686af616801f9e12c0561ae849a364f8c:241:241,1680304079,0xd582098f4570135d7334768b566c38c686af616801f9e12c0561ae849a364f8c,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,18,Wrapped Ether,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xd322a49006fc828f9b5b37ab215f99b4e5cab19c,0xd322a49006fc828f9b5b37ab215f99b4e5cab19c
5,RedeemUnderlying,1320.830763,0.999852,16950177:16:0x73532f6cd0f29c82b8543a3507a6015a86d7b69a475d8a6fa2d9ef0c9f4f2eca:135:135,1680302015,0x73532f6cd0f29c82b8543a3507a6015a86d7b69a475d8a6fa2d9ef0c9f4f2eca,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,6,USD Coin,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xccdd062202b739037cb3023c14809c243905b8cc,0xccdd062202b739037cb3023c14809c243905b8cc
6,RedeemUnderlying,9700.0,0.999852,16950142:6:0x7e74fedab4ebf157987b0ed4fec33b1b3c460e646e8064fb57a5a24de6564c09:52:52,1680301595,0x7e74fedab4ebf157987b0ed4fec33b1b3c460e646e8064fb57a5a24de6564c09,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,6,USD Coin,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xccdd062202b739037cb3023c14809c243905b8cc,0xccdd062202b739037cb3023c14809c243905b8cc
7,RedeemUnderlying,7000.0,0.999852,16950127:163:0xf05bbed398ddfd24b52a8bcfd847e47276169aca581ba20e1eaaefead7b1529e:250:250,1680301415,0xf05bbed398ddfd24b52a8bcfd847e47276169aca581ba20e1eaaefead7b1529e,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,6,USD Coin,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xccdd062202b739037cb3023c14809c243905b8cc,0xccdd062202b739037cb3023c14809c243905b8cc
8,RedeemUnderlying,2.75,0.0,16950109:77:0x346cd96c4541d531b22c12ad24e72b212802e29124fc73893ccc8ff523735da4:113:113,1680301199,0x346cd96c4541d531b22c12ad24e72b212802e29124fc73893ccc8ff523735da4,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,18,Wrapped liquid staked Ether 2.0,0x7f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,0x9f620ccbcb854f15575bcefffc41dac3173f2b48,0x9f620ccbcb854f15575bcefffc41dac3173f2b48
9,RedeemUnderlying,5.404763686393882,1825.9011,16950071:100:0x4c6d9b5bcac79d1f8c059b199d05e72bd70ccac0762a0aded60eb2ba1ffc5890:191:191,1680300743,0x4c6d9b5bcac79d1f8c059b199d05e72bd70ccac0762a0aded60eb2ba1ffc5890,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,18,Wrapped Ether,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x872fbcb1b582e8cd0d0dd4327fbfa0b4c2730995,0x872fbcb1b582e8cd0d0dd4327fbfa0b4c2730995
