,action,amount,assetPriceUSD,id,timestamp,txHash,caller_id,pool,reserve_decimals,reserve_name,underlying_asset,user_id
0,Borrow,3000.0,0.99986129,16730058:121:0x5e115d7a921445d25fc196c8425ab63ee3699daffef5bcf8f4aea64d55434ed3:267:267,1677628643,0x5e115d7a921445d25fc196c8425ab63ee3699daffef5bcf8f4aea64d55434ed3,0x003a85c562730b196f7cba202a2515f2ff855736,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,6,USD Coin,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x003a85c562730b196f7cba202a2515f2ff855736
1,Borrow,15000.0,1.0001,16729904:105:0x98011b883fe6b5c5bb6e50310c1b645a778a7efadf70fc7efac7076777ebdbc1:299:299,1677626747,0x98011b883fe6b5c5bb6e50310c1b645a778a7efadf70fc7efac7076777ebdbc1,0xe38383f28a5770bf8b304539248adda8d5f38248,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,6,Tether USD,0xdac17f958d2ee523a2206206994597c13d831ec7,0xe38383f28a5770bf8b304539248adda8d5f38248
2,Borrow,20000.0,1.00334987,16729700:116:0xbc3b5f0cf6e671a193347f5c978e7edcda67eaf0803c7533793aeb40c76816c4:292:292,1677624275,0xbc3b5f0cf6e671a193347f5c978e7edcda67eaf0803c7533793aeb40c76816c4,0x35f491de23ffbc97ed1811879e48ee8b34a6f8e2,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,18,LUSD Stablecoin,0x5f98805a4e8be255a32880fdec7f6728c6568ba0,0x35f491de23ffbc97ed1811879e48ee8b34a6f8e2
3,Borrow,0.005,0.0,16729628:18:0x628ec819ba3b099dcbb10dc76aa754b544a304003a155296e59746b7b41cd5b2:30:30,1677623399,0x628ec819ba3b099dcbb10dc76aa754b544a304003a155296e59746b7b41cd5b2,0x0a482b61162e950e4347c17e07721eb3fdb7d321,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,18,Coinbase Wrapped Staked ETH,0xbe9895146f7af43049ca1c1ae358b0541ea49704,0x0a482b61162e950e4347c17e07721eb3fdb7d321
4,Borrow,150000.0,0.99986129,16729539:193:0xef7ae7b4c6686fc2c0e5e84a856a80fcd3b0b5e880a67510147ef915123cc3c0:407:407,1677622319,0xef7ae7b4c6686fc2c0e5e84a856a80fcd3b0b5e880a67510147ef915123cc3c0,0x6e7e9551fecc873f9ca0b33e3ebb439ec0a16287,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,6,USD Coin,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x6e7e9551fecc873f9ca0b33e3ebb439ec0a16287
5,Borrow,50.0,1.00208947,16729531:82:0x0fdfac5bb8db1d170217374656cb6e0816eba1051b1d376edd53942145dc0df6:175:175,1677622223,0x0fdfac5bb8db1d170217374656cb6e0816eba1051b1d376edd53942145dc0df6,0xc15e011b8e117fba8cc241c70950fc79f515ab3e,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,18,LUSD Stablecoin,0x5f98805a4e8be255a32880fdec7f6728c6568ba0,0xc15e011b8e117fba8cc241c70950fc79f515ab3e
6,Borrow,0.1901397,0.0,16729404:95:0x813cb0d069ec044dcf9603caf25da69e37a24958bf68ba053670d443faf1240f:246:246,1677620687,0x813cb0d069ec044dcf9603caf25da69e37a24958bf68ba053670d443faf1240f,0x77190475f389f0af31a8220881a834a26127c883,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,18,Wrapped liquid staked Ether 2.0,0x7f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,0x77190475f389f0af31a8220881a834a26127c883
7,Borrow,2237.798813,1.0001,16729374:75:0x684c1501d9ab1792e1c457b2e42016b1b2471d896d91c8578622643085bb4dec:369:369,1677620315,0x684c1501d9ab1792e1c457b2e42016b1b2471d896d91c8578622643085bb4dec,0xb748952c7bc638f31775245964707bcc5ddfabfc,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,6,Tether USD,0xdac17f958d2ee523a2206206994597c13d831ec7,0x35af2f44121e46e10bfb4223fb3094f5f248cc50
8,Borrow,7000.0,0.99986129,16729180:93:0x3696e0b01c572001b53d278e6f8f68f16c43574915bb0d432d140a3a45cf94df:214:214,1677617951,0x3696e0b01c572001b53d278e6f8f68f16c43574915bb0d432d140a3a45cf94df,0x2d3178af3dfbb679716cc14e245be0a9e5945500,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,6,USD Coin,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x2d3178af3dfbb679716cc14e245be0a9e5945500
9,Borrow,20879.510503,0.99986129,16729075:59:0xf101c2a40f6dc37d8a786771df8eb9511fc858a9a7dd83d9b08f2c4e44e19fd0:148:148,1677616667,0xf101c2a40f6dc37d8a786771df8eb9511fc858a9a7dd83d9b08f2c4e44e19fd0,0x2d3178af3dfbb679716cc14e245be0a9e5945500,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,6,USD Coin,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x2d3178af3dfbb679716cc14e245be0a9e5945500
10,Borrow,1500.0,0.99986129,16729044:85:0xe5aedbb1e1e683d25213adbe1bc34aa802388aea5f9b16c65639d99e1d4caf69:199:199,1677616271,0xe5aedbb1e1e683d25213adbe1bc34aa802388aea5f9b16c65639d99e1d4caf69,0x23418fde8b0226199bb2468cfb062420b4abe9c2,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,6,USD Coin,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x23418fde8b0226199bb2468cfb062420b4abe9c2
11,Borrow,150000.0,0.99986129,16729018:124:0xf46d75bfff6d81f5c9b8a6407813e8dc8e8a810e32d41eb8fb2029da365294f6:250:250,1677615935,0xf46d75bfff6d81f5c9b8a6407813e8dc8e8a810e32d41eb8fb2029da365294f6,0x41dda7be30130cebd867f439a759b9e7ab2569e9,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,6,USD Coin,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x41dda7be30130cebd867f439a759b9e7ab2569e9
12,Borrow,700.0,0.99979,16728843:8:0x0ead93278fc2c072d7c10574e1bc788fd5a51b640dfd97e054feba43eedd4965:10:10,1677613823,0x0ead93278fc2c072d7c10574e1bc788fd5a51b640dfd97e054feba43eedd4965,0xe996afb92e2a6aabb3588c4bc13efc68ea95d512,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,18,Dai Stablecoin,0x6b175474e89094c44da98b954eedeac495271d0f,0xe996afb92e2a6aabb3588c4bc13efc68ea95d512
13,Borrow,500000.0,0.99986129,16728374:16:0x35186665d143876403d3d50ed71782e2ede1ec77f37a0613a2b8a37a6ab06efd:32:32,1677608123,0x35186665d143876403d3d50ed71782e2ede1ec77f37a0613a2b8a37a6ab06efd,0x702a39a9d7d84c6b269efaa024dff4037499bba9,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,6,USD Coin,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x702a39a9d7d84c6b269efaa024dff4037499bba9
