,action,amount,assetPriceUSD,id,timestamp,txHash,pool,reserve_decimals,reserve_name,underlying_asset,to_id,user_id
0,RedeemUnderlying,10005.0,0.99815465,20207938:3:0x4c8b59d356bc5110fbdef43d552dd5485c67e942402dad861dbff81e28b452c2:51:51,1719791879,0x4c8b59d356bc5110fbdef43d552dd5485c67e942402dad861dbff81e28b452c2,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,6,Tether USD,0xdac17f958d2ee523a2206206994597c13d831ec7,0xadc0a53095a0af87f3aa29fe0715b5c28016364e,0xadc0a53095a0af87f3aa29fe0715b5c28016364e
1,RedeemUnderlying,15007.5,0.99815465,20207894:4:0xfabab2c2410ac8b7e2d421cfe6dd57be9dbb15ec3fc3c78d30fd07b411887f1c:57:57,1719791351,0xfabab2c2410ac8b7e2d421cfe6dd57be9dbb15ec3fc3c78d30fd07b411887f1c,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,6,Tether USD,0xdac17f958d2ee523a2206206994597c13d831ec7,0xadc0a53095a0af87f3aa29fe0715b5c28016364e,0xadc0a53095a0af87f3aa29fe0715b5c28016364e
2,RedeemUnderlying,50.0,0.99815465,20207852:19:0x8434a8683d29a2fb65c140e6cb5cf23480a117cdddf4f858721f48d9f8f04727:143:143,1719790847,0x8434a8683d29a2fb65c140e6cb5cf23480a117cdddf4f858721f48d9f8f04727,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,6,Tether USD,0xdac17f958d2ee523a2206206994597c13d831ec7,0xbbe35aebc319438837b68d0bc63a4fccb1d49af6,0xbbe35aebc319438837b68d0bc63a4fccb1d49af6
3,RedeemUnderlying,4400.0,0.99987724,20207836:29:0x0771fb7a7e93f7356295a92a0d6b6b04b49c4ef543c518f9ce26b14d338ba877:194:194,1719790655,0x0771fb7a7e93f7356295a92a0d6b6b04b49c4ef543c518f9ce26b14d338ba877,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,6,USD Coin,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x9b07be1cdda3a58f352b7247919077bdd62c4dc8,0x9b07be1cdda3a58f352b7247919077bdd62c4dc8
4,RedeemUnderlying,20000.004738,0.99815465,20207795:11:0xf8a239ba388b5ec782ad3d3d180ed24700f41ec0b83e7e34399362f598f57b02:94:94,1719790163,0xf8a239ba388b5ec782ad3d3d180ed24700f41ec0b83e7e34399362f598f57b02,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,6,Tether USD,0xdac17f958d2ee523a2206206994597c13d831ec7,0xadc0a53095a0af87f3aa29fe0715b5c28016364e,0xadc0a53095a0af87f3aa29fe0715b5c28016364e
5,RedeemUnderlying,63772.320169,0.99815465,20207764:67:0x40a8405b93e7420cda3c9fef80cb1206130f717b0b7b0b4ddc4c64b38c9d804b:383:383,1719789791,0x40a8405b93e7420cda3c9fef80cb1206130f717b0b7b0b4ddc4c64b38c9d804b,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,6,Tether USD,0xdac17f958d2ee523a2206206994597c13d831ec7,0xaec2d11b6c0f38ef2bedd1db577c81e02bfaf634,0xfb960a2deb5ca509ae2f4402696375c0991830e7
6,RedeemUnderlying,20000.006195,0.99815465,20207738:165:0xa58561f46e375c024185348ff3fdf41f52dbc6a86afb44ab33b9aec6a949412e:621:621,1719789479,0xa58561f46e375c024185348ff3fdf41f52dbc6a86afb44ab33b9aec6a949412e,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,6,Tether USD,0xdac17f958d2ee523a2206206994597c13d831ec7,0xadc0a53095a0af87f3aa29fe0715b5c28016364e,0xadc0a53095a0af87f3aa29fe0715b5c28016364e
7,RedeemUnderlying,450000.152197,0.99987724,20207687:21:0x613e1e1b0fe35310f04bd99b8a1903fdcd49dd64682215f50a970a30438ab207:67:67,1719788855,0x613e1e1b0fe35310f04bd99b8a1903fdcd49dd64682215f50a970a30438ab207,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,6,USD Coin,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xadc0a53095a0af87f3aa29fe0715b5c28016364e,0xadc0a53095a0af87f3aa29fe0715b5c28016364e
8,RedeemUnderlying,382263.501414,0.99987724,20207665:12:0x09cbe3dd377f8b7391578246660cd246270d6c79efd9ed965a6acaccfd0601a1:45:45,1719788591,0x09cbe3dd377f8b7391578246660cd246270d6c79efd9ed965a6acaccfd0601a1,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,6,USD Coin,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xadc0a53095a0af87f3aa29fe0715b5c28016364e,0xadc0a53095a0af87f3aa29fe0715b5c28016364e
9,RedeemUnderlying,400.0,1782.44,20207663:4:0xd3f383edab1703830808bf31055ccc2179321184a7b633b2c496cd6fb1ca0379:53:53,1719788567,0xd3f383edab1703830808bf31055ccc2179321184a7b633b2c496cd6fb1ca0379,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,18,Wrapped Ether,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x00000000032962b51589768828ad878876299e14,0x00000000032962b51589768828ad878876299e14
10,RedeemUnderlying,1721298.731187,0.99987724,20207663:4:0xd3f383edab1703830808bf31055ccc2179321184a7b633b2c496cd6fb1ca0379:48:48,1719788567,0xd3f383edab1703830808bf31055ccc2179321184a7b633b2c496cd6fb1ca0379,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,6,USD Coin,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x00000000032962b51589768828ad878876299e14,0x00000000032962b51589768828ad878876299e14
11,RedeemUnderlying,579292.645607,0.99987724,20207628:10:0xc7ad7794bb33e3bdead6404aaebfd55c46f9a64efc92a7a6dc1bd9175fd63c10:101:101,1719788147,0xc7ad7794bb33e3bdead6404aaebfd55c46f9a64efc92a7a6dc1bd9175fd63c10,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,6,USD Coin,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xadc0a53095a0af87f3aa29fe0715b5c28016364e,0xadc0a53095a0af87f3aa29fe0715b5c28016364e
12,RedeemUnderlying,500000.0,0.99987724,20207599:50:0x29f46f6f9407d290f401f45199f2f8d3ab140c7feedc1539a7d1eb551d1f2f11:343:343,1719787799,0x29f46f6f9407d290f401f45199f2f8d3ab140c7feedc1539a7d1eb551d1f2f11,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,6,USD Coin,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xadc0a53095a0af87f3aa29fe0715b5c28016364e,0xadc0a53095a0af87f3aa29fe0715b5c28016364e
13,RedeemUnderlying,10000.0,0.99987724,20207573:84:0xd2d48f2b58739c3ef20a2c8a31f8df9acaab97e12e4a455adb3047a7a9481db6:281:281,1719787487,0xd2d48f2b58739c3ef20a2c8a31f8df9acaab97e12e4a455adb3047a7a9481db6,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,6,USD Coin,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xa7fdd34c992b724bee8ee19d5abb8a4e35c93918,0xa7fdd34c992b724bee8ee19d5abb8a4e35c93918
14,RedeemUnderlying,1079291.734326,0.99987724,20207565:108:0xde9bc9b4ecbe998974b42b54b90b2972acdbc7391553353a3c718f892149cfcc:315:315,1719787391,0xde9bc9b4ecbe998974b42b54b90b2972acdbc7391553353a3c718f892149cfcc,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,6,USD Coin,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xec46dd165ee2d4af460a9c3d01b5a4c9516c9c3f,0xec46dd165ee2d4af460a9c3d01b5a4c9516c9c3f
15,RedeemUnderlying,7406.410707,0.99815465,20207540:39:0x43cf71ba6c056a629f0dcd5ea740c390b0cd99e2ca6cd4fa7005e39097341251:191:191,1719787079,0x43cf71ba6c056a629f0dcd5ea740c390b0cd99e2ca6cd4fa7005e39097341251,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,6,Tether USD,0xdac17f958d2ee523a2206206994597c13d831ec7,0xadc0a53095a0af87f3aa29fe0715b5c28016364e,0xadc0a53095a0af87f3aa29fe0715b5c28016364e
16,RedeemUnderlying,44276.218487,0.99987724,20207534:80:0x1db7a97ef7a4d5614e91eacfaaa8e35bad1d08b378a376e289426bd79d32ae8a:283:283,1719787007,0x1db7a97ef7a4d5614e91eacfaaa8e35bad1d08b378a376e289426bd79d32ae8a,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,6,USD Coin,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xadc0a53095a0af87f3aa29fe0715b5c28016364e,0xadc0a53095a0af87f3aa29fe0715b5c28016364e
17,RedeemUnderlying,1079290.839184,0.99987724,20207523:49:0x63695f83f5ddd538f22ad80d87bb2ebbcd792b0e4af7a8cd890f1793de407f5e:193:193,1719786875,0x63695f83f5ddd538f22ad80d87bb2ebbcd792b0e4af7a8cd890f1793de407f5e,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,6,USD Coin,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xec46dd165ee2d4af460a9c3d01b5a4c9516c9c3f,0xec46dd165ee2d4af460a9c3d01b5a4c9516c9c3f
18,RedeemUnderlying,7.418923945957152,1782.44,20207487:31:0xc966a86b6f8446f6fad9482f7be44b9146c84ab4091ce40a0efcdd0db46928bf:218:218,1719786443,0xc966a86b6f8446f6fad9482f7be44b9146c84ab4091ce40a0efcdd0db46928bf,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,18,Wrapped Ether,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x40003cf0002d5f00bba0dc0900000000bb0098be,0x40003cf0002d5f00bba0dc0900000000bb0098be
19,RedeemUnderlying,50000.0,0.99987724,20207408:68:0x3d2600faf0462d4a389d04fc8c8dc8517abccd4e5d72900df66fc70531084a52:319:319,1719785495,0x3d2600faf0462d4a389d04fc8c8dc8517abccd4e5d72900df66fc70531084a52,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,6,USD Coin,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xa16eec8476d15caf3908a0eef9458a79908f15b5,0xa16eec8476d15caf3908a0eef9458a79908f15b5
20,RedeemUnderlying,135791.430498,0.99815465,20207406:46:0xc20c3fb6d621898d50054a8eff79a839269b352328ecf3bec3b6c10e4331a143:364:364,1719785471,0xc20c3fb6d621898d50054a8eff79a839269b352328ecf3bec3b6c10e4331a143,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,6,Tether USD,0xdac17f958d2ee523a2206206994597c13d831ec7,0xb96527c84c920fe68e3916a7931b0a1825053ea5,0xb96527c84c920fe68e3916a7931b0a1825053ea5
