,action,amount,assetPriceUSD,id,timestamp,txHash,pool,reserve_decimals,reserve_name,underlying_asset,to_id,user_id
0,RedeemUnderlying,1924.4484987171688,0.0,17816427:30:0x3573df2f8e38ddc5833710cfd9f9a859af35cb5ed2cc9a6e617fff0dcd46373a:176:176,1690847927,0x3573df2f8e38ddc5833710cfd9f9a859af35cb5ed2cc9a6e617fff0dcd46373a,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,18,Wrapped liquid staked Ether 2.0,0x7f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,0xee160154b02a2e404c6c13ff0b28ed76010cf07d,0xc9cea6df3a736846c5b610ff342836838ec1a84d
1,RedeemUnderlying,23.98,0.0,17816423:71:0xb33feedc63df461a6c9a90550fb1b67d9096a9b21a5fc0451516817b1da8e42b:188:188,1690847879,0xb33feedc63df461a6c9a90550fb1b67d9096a9b21a5fc0451516817b1da8e42b,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,18,Wrapped liquid staked Ether 2.0,0x7f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,0x8542bfa8f543743c7c382e95d95c235b8458aac1,0x8542bfa8f543743c7c382e95d95c235b8458aac1
2,RedeemUnderlying,750.0,0.0,17816388:102:0xe37db15d22cdf2549fed416627ad644b5c9d017270e096884e09c5a2ddde0886:227:227,1690847459,0xe37db15d22cdf2549fed416627ad644b5c9d017270e096884e09c5a2ddde0886,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,18,Wrapped liquid staked Ether 2.0,0x7f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,0xee160154b02a2e404c6c13ff0b28ed76010cf07d,0xc9cea6df3a736846c5b610ff342836838ec1a84d
3,RedeemUnderlying,0.2,1782.44,17816380:113:0xd134919c3a3c31aba57b4b015e825fa5c2278acfb6762f58a8fb5ece2b39868d:338:338,1690847363,0xd134919c3a3c31aba57b4b015e825fa5c2278acfb6762f58a8fb5ece2b39868d,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,18,Wrapped Ether,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xd322a49006fc828f9b5b37ab215f99b4e5cab19c,0xd322a49006fc828f9b5b37ab215f99b4e5cab19c
4,RedeemUnderlying,21.1658254,0.0,17816367:43:0xde6fc7d2c7548372b80a253543c29dc510299526b8bb75bb6daf5f67b6f41144:130:130,1690847207,0xde6fc7d2c7548372b80a253543c29dc510299526b8bb75bb6daf5f67b6f41144,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,8,Wrapped BTC,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0x3cee2d93a0a36bcc58e485dcfb2d9472da300a5c,0x3cee2d93a0a36bcc58e485dcfb2d9472da300a5c
5,RedeemUnderlying,26.527542418848896,0.0,17816363:77:0x809ddee0a1a9f6e3bada8174c6eed877e189ad1b3b331650707586115c4c8160:170:170,1690847159,0x809ddee0a1a9f6e3bada8174c6eed877e189ad1b3b331650707586115c4c8160,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,18,Wrapped liquid staked Ether 2.0,0x7f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,0x4f862899c42645bec4b73ab20e4d06688f592f6f,0x4f862899c42645bec4b73ab20e4d06688f592f6f
6,RedeemUnderlying,700.0,0.99996363,17816360:72:0xa4a06d29dba95ad29266abd898e3e0021f6d15385f06c031c1256e76721509f3:198:198,1690847123,0xa4a06d29dba95ad29266abd898e3e0021f6d15385f06c031c1256e76721509f3,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,6,USD Coin,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x9a931f1c39f5c823facf54bed3b6e0593d1408a1,0x9a931f1c39f5c823facf54bed3b6e0593d1408a1
7,RedeemUnderlying,8.0,1782.44,17816283:201:0xe9bb205dbdc132588390d26d3abd1ef32a47a3ea1adc9c537c7aa1e21f1de2ee:587:587,1690846187,0xe9bb205dbdc132588390d26d3abd1ef32a47a3ea1adc9c537c7aa1e21f1de2ee,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,18,Wrapped Ether,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xfafeb6c262517d7d1171a3ba836e3e2d2897835f,0xfafeb6c262517d7d1171a3ba836e3e2d2897835f
8,RedeemUnderlying,1.551505321822647,1782.44,17816273:134:0xc5af7e45da6c0fa0feec81a99e919a54fea98a31804300781068050a7fc907d3:369:369,1690846067,0xc5af7e45da6c0fa0feec81a99e919a54fea98a31804300781068050a7fc907d3,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,18,Wrapped Ether,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x02e7b8511831b1b02d9018215a0f8f500ea5c6b3,0x02e7b8511831b1b02d9018215a0f8f500ea5c6b3
9,RedeemUnderlying,2.6467336471000094,61.385372,17816239:164:0x2b11ed0d0c4ac5de1c01d7b6c5137a9497b9a1ba54abc0ec3f710f4a9771282a:350:350,1690845659,0x2b11ed0d0c4ac5de1c01d7b6c5137a9497b9a1ba54abc0ec3f710f4a9771282a,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,18,Aave Token,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,0x3070f20f86fda706ac380f5060d256028a46ec29,0x3070f20f86fda706ac380f5060d256028a46ec29
