,action,borrowAssetPriceUSD,collateralAmount,collateralAssetPriceUSD,id,liquidator,principalAmount,timestamp,txHash,collateral_reserve_decimals,collateral_reserve_name,collateralReserve.underlyingAsset,pool,principal_reserve_decimals,principal_reserve_name,principalReserve.underlyingAsset,user_id
0,LiquidationCall,0.99957112,0.0535668421787642,1782.44,20429558:21:0xb58fe551155b00ad9804f6b37d6864759f389149be2bbe2108d5ed260e736a7e:99:99,0x681d0d7196a036661b354fa2a7e3b73c2adc43ec,164.87438,1722465407,0xb58fe551155b00ad9804f6b37d6864759f389149be2bbe2108d5ed260e736a7e,18,Wrapped Ether,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,6,Tether USD,0xdac17f958d2ee523a2206206994597c13d831ec7,0xc2d0e199236cf0720a3714c34274224ad5884dc2
1,LiquidationCall,0.9999029,0.21725032,0.0,20428871:3:0x471e4aa90a66eeac217e89aea6ff5a828b5c5da9703ab88f977cbbadc1a5dd91:50:50,0x6fb323bc0a1c0e5991bfc2088b02b6185d8d4232,13497.700988,1722457115,0x471e4aa90a66eeac217e89aea6ff5a828b5c5da9703ab88f977cbbadc1a5dd91,8,Wrapped BTC,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,6,USD Coin,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x86683cb61bb9ebb8893db3b82271166879c2502d
2,LiquidationCall,0.9999029,0.24299251,0.0,20428871:2:0x2f7aab1eef6cab06e8ef89ec430bf3abca2add164bb0204776b572ad2b093f88:35:35,0x8ce45e650ab17b6ca0dd6071f7c2b5c69b5b42b2,15097.054582,1722457115,0x2f7aab1eef6cab06e8ef89ec430bf3abca2add164bb0204776b572ad2b093f88,8,Wrapped BTC,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,6,USD Coin,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x45c117bc108ceb3fca4d46f106325243b33a8c97
3,LiquidationCall,0.99957112,0.33795536,0.0,20428871:1:0x036da1d0fdf7a9186ad054ac21385c30414551d05e140949b397637eb293a5c7:18:18,0x681d0d7196a036661b354fa2a7e3b73c2adc43ec,21004.039218,1722457115,0x036da1d0fdf7a9186ad054ac21385c30414551d05e140949b397637eb293a5c7,8,Wrapped BTC,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,6,Tether USD,0xdac17f958d2ee523a2206206994597c13d831ec7,0x0db15b403ae023b1c9b07e95d9294710514292ac
4,LiquidationCall,0.99957112,0.9056810571354243,1782.44,20427818:5:0x4eb4d5b6e736ed05c0c69ab748a441d9b2be13008da2022d3d990fc9a416c386:42:42,0x00000000009e50a7ddb7a7b0e2ee6604fd120e49,2852.532699,1722444407,0x4eb4d5b6e736ed05c0c69ab748a441d9b2be13008da2022d3d990fc9a416c386,18,Wrapped Ether,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,6,Tether USD,0xdac17f958d2ee523a2206206994597c13d831ec7,0xd80922784a97ccaf43efaa1bed6b8dc5df795f10
5,LiquidationCall,0.99989,4.98693537880008,0.0,20421247:1:0x8afc1655308d98532fa7fa92203e6cb73fa251baccf63aeba309c8324b35b9aa:17:17,0x6fb323bc0a1c0e5991bfc2088b02b6185d8d4232,18219.427679,1722365183,0x8afc1655308d98532fa7fa92203e6cb73fa251baccf63aeba309c8324b35b9aa,18,Wrapped liquid staked Ether 2.0,0x7f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,6,Tether USD,0xdac17f958d2ee523a2206206994597c13d831ec7,0xcd9782e02d725dc66a7056ac7b49c0e84a49f333
6,LiquidationCall,0.99994236,0.0607836587708214,1782.44,20415648:7:0xf317e7bca2d968de57108b2f082a25398ad99848967a56c39027fd681893fcb2:65:65,0x6fb323bc0a1c0e5991bfc2088b02b6185d8d4232,193.014656,1722297347,0xf317e7bca2d968de57108b2f082a25398ad99848967a56c39027fd681893fcb2,18,Wrapped Ether,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,6,Tether USD,0xdac17f958d2ee523a2206206994597c13d831ec7,0x2c321c6ae722a80a577c5cea51afd9199bfcdaa4
7,LiquidationCall,1.00003208,8.908586,1.00003208,20402913:8:0x8dc76ed29f453daacb72c4f903c490d261a962d01ce77978d07c8c6e1b5d0b45:83:83,0x00000000009e50a7ddb7a7b0e2ee6604fd120e49,8.599021,1722144023,0x8dc76ed29f453daacb72c4f903c490d261a962d01ce77978d07c8c6e1b5d0b45,6,USD Coin,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,6,USD Coin,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x66b870ddf78c975af5cd8edc6de25eca81791de1
8,LiquidationCall,0.0,0.1443994458885815,1782.44,20399839:10:0x0831832bd9cdb85bdfd5dda696e3f3d19bba534136b31234357d724bb9e728b2:220:220,0x6fb323bc0a1c0e5991bfc2088b02b6185d8d4232,0.00651619,1722106895,0x0831832bd9cdb85bdfd5dda696e3f3d19bba534136b31234357d724bb9e728b2,18,Wrapped Ether,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,8,Wrapped BTC,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0x37ffe93c07b80062454dcca32c4c0971956ab0bd
9,LiquidationCall,0.0,0.00030488,0.0,20389361:8:0xe661c453721bd5115e3b1bf850e2f66e11b1fba6d9dc398065c28db94cead644:87:87,0x00000000009e50a7ddb7a7b0e2ee6604fd120e49,0.00029175,1721980463,0xe661c453721bd5115e3b1bf850e2f66e11b1fba6d9dc398065c28db94cead644,8,Wrapped BTC,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,8,Wrapped BTC,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0xc9438ba0afc02a68687ffdaa960e88e9d1f4c730
