,action,amount,assetPriceUSD,id,timestamp,txHash,useATokens,pool,repayer_id,reserve_decimals,reserve_name,underlying_asset,user_id
0,Repay,1000.0,1.0003,18908835:70:0xfd9632d3d810ab934fbdf16b5d43e3f43f834537a63b65e8811d67f77857ba16:210:210,1704066491,0xfd9632d3d810ab934fbdf16b5d43e3f43f834537a63b65e8811d67f77857ba16,False,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,0xe7f525dd1bc6d748ae4d7f21d31e54741e05e110,6,USD Coin,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xe7f525dd1bc6d748ae4d7f21d31e54741e05e110
1,Repay,177158.64515377613,1.00011,18908830:6:0xa4cb767cc0a97a2fac18169026d85489068b81000865d0d9ec3871d2c86ffc56:74:74,1704066431,0xa4cb767cc0a97a2fac18169026d85489068b81000865d0d9ec3871d2c86ffc56,False,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,0xb0000000aa4f00af1200c8b2befb6300853f0069,18,Dai Stablecoin,0x6b175474e89094c44da98b954eedeac495271d0f,0xb0000000aa4f00af1200c8b2befb6300853f0069
2,Repay,1500.0,1.0003,18908825:71:0x9d3e935be2917ccd25927b027221689decea2246a50c744533d57c688657fc51:110:110,1704066371,0x9d3e935be2917ccd25927b027221689decea2246a50c744533d57c688657fc51,False,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,0x02e7b8511831b1b02d9018215a0f8f500ea5c6b3,6,USD Coin,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x867a27d54adb48e2788adbfd2939339c166ff652
3,Repay,104.606126,1.0003,18908788:77:0xc09e95c16e36bcd3b085a8fbd2c788b6613e5d1d80b44a212108dea73253d795:954:954,1704065927,0xc09e95c16e36bcd3b085a8fbd2c788b6613e5d1d80b44a212108dea73253d795,False,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,0x5b85b47670778b204041d6457db8b5f5d36fa97a,6,USD Coin,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x5b85b47670778b204041d6457db8b5f5d36fa97a
4,Repay,0.1250094669489166,1782.44,18908757:79:0x1260dee9dac1e602efed08ba083e0951d92dc999d9e3b1130ec4dc47891b9a90:150:150,1704065555,0x1260dee9dac1e602efed08ba083e0951d92dc999d9e3b1130ec4dc47891b9a90,False,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,0xd322a49006fc828f9b5b37ab215f99b4e5cab19c,18,Wrapped Ether,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x908599102d61a59f9a4458d73b944ec2f66f3b4f
5,Repay,15968.281334,1.0003,18908614:157:0x300568d549dd52580f882731f3a8768cb882402e702765ca71b6b868e41ef23b:329:329,1704063839,0x300568d549dd52580f882731f3a8768cb882402e702765ca71b6b868e41ef23b,False,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,0x122e2cd153a58ba06c79ef0384d6a696a93d0ab6,6,USD Coin,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x122e2cd153a58ba06c79ef0384d6a696a93d0ab6
6,Repay,4000.565887,1.0003,18908580:135:0x3ab739580429e77f2385d3731b3c7c58f29e63abf358c033857f417b8f9a3679:322:322,1704063431,0x3ab739580429e77f2385d3731b3c7c58f29e63abf358c033857f417b8f9a3679,False,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,0xd6394b314c2fe4262a5614016b0043035fa834ce,6,USD Coin,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xd6394b314c2fe4262a5614016b0043035fa834ce
7,Repay,95.22613002515996,1782.44,18908570:2:0xdaff092020f11c44a1227e7ef7bade34ae3310adc6fb6f86165f423269583238:158:158,1704063311,0xdaff092020f11c44a1227e7ef7bade34ae3310adc6fb6f86165f423269583238,False,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,0x9024646449a60e30c3484ee402683ce003ce8abc,18,Wrapped Ether,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x9024646449a60e30c3484ee402683ce003ce8abc
8,Repay,21.58739101,0.0,18908570:2:0xdaff092020f11c44a1227e7ef7bade34ae3310adc6fb6f86165f423269583238:146:146,1704063311,0xdaff092020f11c44a1227e7ef7bade34ae3310adc6fb6f86165f423269583238,False,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,0x9024646449a60e30c3484ee402683ce003ce8abc,8,Wrapped BTC,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0x9024646449a60e30c3484ee402683ce003ce8abc
9,Repay,5.09082637,0.0,18908570:0:0x8cf386ce8cd655acf1728c7217b67a4f867c1e1cfd709b8e7593586e0f236c6f:92:92,1704063311,0x8cf386ce8cd655acf1728c7217b67a4f867c1e1cfd709b8e7593586e0f236c6f,False,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,0x9024646449a60e30c3484ee402683ce003ce8abc,8,Wrapped BTC,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0x9024646449a60e30c3484ee402683ce003ce8abc
