,action,amount,assetPriceUSD,id,timestamp,txHash,useATokens,pool,repayer_id,reserve_decimals,reserve_name,underlying_asset,user_id
0,Repay,6.0,1827.86,16950567:94:0xac9ebb0fbc2ab578a2a0ad87d4f83b750a987282f5d3079f61afaf01d8cad222:164:164,1680306779,0xac9ebb0fbc2ab578a2a0ad87d4f83b750a987282f5d3079f61afaf01d8cad222,False,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,0xd322a49006fc828f9b5b37ab215f99b4e5cab19c,18,Wrapped Ether,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xb39a1c8933e67ed4dc65ba37035ef477b3423374
1,Repay,1392.601004,0.999852,16950544:92:0x4ba4761ee0c8506cd0823449273e13810581371241cc4252a8d38ae7855ea5e8:161:161,1680306479,0x4ba4761ee0c8506cd0823449273e13810581371241cc4252a8d38ae7855ea5e8,False,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,0x933a2ca5cb48f1dab0a0e517f667c240e42ad6fc,6,USD Coin,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x933a2ca5cb48f1dab0a0e517f667c240e42ad6fc
2,Repay,49763.427312,0.999852,16950340:118:0x7be7f5b316fc026bddb5690d5fadfffa0f98a793679e3bfcd4f4deb83616dcdf:173:173,1680303995,0x7be7f5b316fc026bddb5690d5fadfffa0f98a793679e3bfcd4f4deb83616dcdf,False,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,0x71ff1934c6e7c846561a8b17a18ba279736cf9f4,6,USD Coin,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x71ff1934c6e7c846561a8b17a18ba279736cf9f4
3,Repay,0.503562254248089,1825.9011,16950190:58:0x37095e76a85a890ea15572a4fee40fb1f46734863f0e0785090246d52fb50351:52:52,1680302171,0x37095e76a85a890ea15572a4fee40fb1f46734863f0e0785090246d52fb50351,False,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,0xd322a49006fc828f9b5b37ab215f99b4e5cab19c,18,Wrapped Ether,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xccdd062202b739037cb3023c14809c243905b8cc
4,Repay,3.9,1825.9011,16950136:24:0x338dd37eecd7307b42386b4b5d7fddbf7421e782f4f7db7a64688941058b9084:83:83,1680301523,0x338dd37eecd7307b42386b4b5d7fddbf7421e782f4f7db7a64688941058b9084,False,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,0xd322a49006fc828f9b5b37ab215f99b4e5cab19c,18,Wrapped Ether,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xccdd062202b739037cb3023c14809c243905b8cc
5,Repay,2.33764173,0.0,16950102:195:0x11c5b45c1406a7a0c17bf04f8ccf6ffd7af7f81dc113e2499887e6dbb65d2f71:380:380,1680301115,0x11c5b45c1406a7a0c17bf04f8ccf6ffd7af7f81dc113e2499887e6dbb65d2f71,False,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,0x9f620ccbcb854f15575bcefffc41dac3173f2b48,18,Coinbase Wrapped Staked ETH,0xbe9895146f7af43049ca1c1ae358b0541ea49704,0x9f620ccbcb854f15575bcefffc41dac3173f2b48
6,Repay,1000.595392598682,0.99981372,16949892:65:0xffb4ad5473f39d8b51e5bf3ca335bcde7e148c65abfbb6c8c371f75e53d52b18:99:99,1680298595,0xffb4ad5473f39d8b51e5bf3ca335bcde7e148c65abfbb6c8c371f75e53d52b18,False,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,0x6000f8f6999af86660360a5a27a6f30369978eca,18,Dai Stablecoin,0x6b175474e89094c44da98b954eedeac495271d0f,0x6000f8f6999af86660360a5a27a6f30369978eca
7,Repay,1077.073829,0.999852,16949823:178:0x2796709a6c8d088a24761c6c137b67e05ead851912aa74006ef5abd63100496b:275:275,1680297767,0x2796709a6c8d088a24761c6c137b67e05ead851912aa74006ef5abd63100496b,False,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,0xe60015905a94f8396fc118bc70d20165696768fe,6,USD Coin,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xe60015905a94f8396fc118bc70d20165696768fe
8,Repay,26552.282554,0.999852,16949781:108:0xbe90296d8c4e097cb22f2377ee1a430da0cfbf24ecfcf08443f6879abfb1f73e:235:235,1680297263,0xbe90296d8c4e097cb22f2377ee1a430da0cfbf24ecfcf08443f6879abfb1f73e,False,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,0x1809f186d680f239420b56948c58f8dbbcdf1e18,6,USD Coin,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x38d172c5756033c0ba2bd05a0622f26a47a8a19c
9,Repay,0.0211576895250396,0.99981372,16949757:24:0x0c59268cb94c8e416c3865b9471019e20587678ea8e599eb43f734ab0c9d9115:55:55,1680296975,0x0c59268cb94c8e416c3865b9471019e20587678ea8e599eb43f734ab0c9d9115,False,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,0x0b05dcb04f7c4e4f034c069b9ecd50b7a9468e49,18,Dai Stablecoin,0x6b175474e89094c44da98b954eedeac495271d0f,0x0b05dcb04f7c4e4f034c069b9ecd50b7a9468e49
