,action,borrowAssetPriceUSD,collateralAmount,collateralAssetPriceUSD,id,liquidator,principalAmount,timestamp,txHash,collateral_reserve_decimals,collateral_reserve_name,collateralReserve.underlyingAsset,pool,principal_reserve_decimals,principal_reserve_name,principalReserve.underlyingAsset,user_id
0,LiquidationCall,0.99996,0.1136828254869975,1867.21,17133646:58:0xc0fda5700bb6762efcc3fd2ae3a43937b7e7752dabcc8f728be72c49620db961:179:179,0xac917b7ffb3292bdcb6107c4ee1513afc222acf4,203.1370332110668,1682551523,0xc0fda5700bb6762efcc3fd2ae3a43937b7e7752dabcc8f728be72c49620db961,18,Wrapped Ether,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,18,Dai Stablecoin,0x6b175474e89094c44da98b954eedeac495271d0f,0x238643d4106c7c6206f8dc31acb59cd24c979d12
1,LiquidationCall,1.00012638,2.2635103827395846,1806.87704,17132641:127:0xe2552515fa61ac12e8e7c9c36c259671385677193f397f6ec5de40f7124096fe:341:341,0x80d4230c0a68fc59cb264329d3a717fcaa472a13,3913.270934,1682539307,0xe2552515fa61ac12e8e7c9c36c259671385677193f397f6ec5de40f7124096fe,18,Wrapped Ether,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,6,USD Coin,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x05cfd4b9b37f4f8736b6da569fb4262d36f57f56
2,LiquidationCall,0.9999,0.0536335549789293,1835.59227689,17125443:27:0x244d864670d3d1a360bdcfe769dee68b808c48d7fc3c5b9cbe03cec3e1bb57dc:51:51,0x594efbe5a71a10a958d812b4c65f3dfa60922a15,94.219316,1682452007,0x244d864670d3d1a360bdcfe769dee68b808c48d7fc3c5b9cbe03cec3e1bb57dc,18,Wrapped Ether,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,6,USD Coin,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x91d22f84ca2675808bf3e66eb659728b2067d6e6
3,LiquidationCall,0.9999,2.397210922054457,1809.8886,17123903:2:0x1dbc2ac6a19405e969bcaf0cef2d8d6b428af1d47366d9e17d79bc9ade8026df:19:19,0x1a2d11cb90d1de13bb81ee7b772a08ac234a8058,4152.266633,1682433323,0x1dbc2ac6a19405e969bcaf0cef2d8d6b428af1d47366d9e17d79bc9ade8026df,18,Wrapped Ether,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,6,USD Coin,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xff9b90914e248339ab0a50bf4798ef8b012eac79
4,LiquidationCall,1.00005624,0.3039078164198439,1848.22551967,17111568:42:0x774c532896454e2f58e5dc7c18f8d4d804bf149eea2cefffb0aaff3bec48571e:90:90,0x33be3a13383a2e5f4c66366f00b73e88a9792efb,537.472339,1682283863,0x774c532896454e2f58e5dc7c18f8d4d804bf149eea2cefffb0aaff3bec48571e,18,Wrapped Ether,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,6,USD Coin,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xcce3ada5314481db76709fa69a67166e9434a3b3
5,LiquidationCall,1.00005624,0.5396385514433404,1850.3158,17110764:12:0x82ab81ca0528dd7f07c6e2c6d46aa9eb7081171950c2b0a9f43c8b6adccc2488:73:73,0x1a2d11cb90d1de13bb81ee7b772a08ac234a8058,955.450321,1682274119,0x82ab81ca0528dd7f07c6e2c6d46aa9eb7081171950c2b0a9f43c8b6adccc2488,18,Wrapped Ether,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,6,USD Coin,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xeb350d4315fa5332a0efac7c2365ca2e414acabd
6,LiquidationCall,1.0000202,0.9886870501541716,1842.61888183,17097323:1:0x1a8a0e59c44781b82f83a10e333f087e70b8e99df305331d4b43192833f02fbe:14:14,0x1a2d11cb90d1de13bb81ee7b772a08ac234a8058,1743.288639,1682111315,0x1a8a0e59c44781b82f83a10e333f087e70b8e99df305331d4b43192833f02fbe,18,Wrapped Ether,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,6,USD Coin,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x23db246031fd6f4e81b0814e9c1dc0901a18da2d
7,LiquidationCall,1.0000202,33.56474103351055,6.14877,17097114:50:0x96e398642ec1f66219237cebbe1cd77d9ecb1d5ef64573ce9dc391efe27bb8e4:154:154,0x04c85b48ea69f2c2ffedb6f23b68f8ba1cf082d5,192.03285,1682108783,0x96e398642ec1f66219237cebbe1cd77d9ecb1d5ef64573ce9dc391efe27bb8e4,18,Balancer,0xba100000625a3754423978a60c9317c58a424e3d,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,6,USD Coin,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x7e9226f4d9cf7aed64d24918477520a70d1b4820
8,LiquidationCall,1.0000202,1.1183866533692686,1842.74,17097110:5:0x4335ec5ba9e1bb45d8d6bfbf03cc0e70ebbbde5b9f883cb8d0d0c46f8369c252:46:46,0x1a2d11cb90d1de13bb81ee7b772a08ac234a8058,1972.109275,1682108735,0x4335ec5ba9e1bb45d8d6bfbf03cc0e70ebbbde5b9f883cb8d0d0c46f8369c252,18,Wrapped Ether,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,6,USD Coin,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xae5ee34994dce7bace81fab0f163895505f92225
9,LiquidationCall,1.0,3.451976656817369,1842.8763,17096729:97:0xa5bb1dec4b0142833c655a6cdcc05470627080adf34519801112053b55e00aed:445:445,0x80d4230c0a68fc59cb264329d3a717fcaa472a13,6087.622936843984,1682104091,0xa5bb1dec4b0142833c655a6cdcc05470627080adf34519801112053b55e00aed,18,Wrapped Ether,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,18,Dai Stablecoin,0x6b175474e89094c44da98b954eedeac495271d0f,0xde092a220313cede58750434b66d46b5ff494cbb
