,action,borrowAssetPriceUSD,collateralAmount,collateralAssetPriceUSD,id,liquidator,principalAmount,timestamp,txHash,collateral_reserve_decimals,collateral_reserve_name,collateralReserve.underlyingAsset,pool,principal_reserve_decimals,principal_reserve_name,principalReserve.underlyingAsset,user_id
0,LiquidationCall,0.0,28.144735063400283,0.0,18683283:82:0x3433e7b37ceb16638a729f5ca131b37f9c123cf53a7d1e6bda2e88b4e2f43b5a:217:217,0x5c5c1776c16ef823e6582dd2747018ca5638e972,62107.881545211865,1701333503,0x3433e7b37ceb16638a729f5ca131b37f9c123cf53a7d1e6bda2e88b4e2f43b5a,18,Wrapped liquid staked Ether 2.0,0x7f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,18,Gho Token,0x40d16fc0246ad3160ccc09b8d0d3a2cd28ae6c2f,0x86beddbd4673d161d9505567f6e0ccc4f8362bb5
1,LiquidationCall,0.0,0.3192325922455357,1782.44,18660538:133:0xb4caa00e0d903ce5ecd0bbea244fde7a9e1cf4bf77aff960656e16ab2e2859eb:330:330,0xd4c007fa283d3c1b49a0cba8b152fea203064f59,0.2661116944773734,1701058559,0xb4caa00e0d903ce5ecd0bbea244fde7a9e1cf4bf77aff960656e16ab2e2859eb,18,Wrapped Ether,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,18,Wrapped liquid staked Ether 2.0,0x7f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,0x4ebde1e8ad8e205d4de268ba758e5725eafbc6fd
2,LiquidationCall,0.99978891,218.1307094314747,1782.44,18660143:1:0xdf48f48c483fc1bf751ede7f4fcc90beed91987aa86bbe7957382031363b91a2:18:18,0x6980a47bee930a4584b09ee79ebe46484fbdbdd0,428186.131118,1701053795,0xdf48f48c483fc1bf751ede7f4fcc90beed91987aa86bbe7957382031363b91a2,18,Wrapped Ether,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,6,USD Coin,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xee439ee079ac05d9d33a6926a16e0c820fb2713a
3,LiquidationCall,1782.44,1.6387700818877498,1782.44,18650131:10:0x48b10f58d1d9d4069001bdbb84585ea07c683f2374994f764c0f8ae9a020e5f4:79:79,0x5c5c1776c16ef823e6582dd2747018ca5638e972,1.624152707520069,1700932475,0x48b10f58d1d9d4069001bdbb84585ea07c683f2374994f764c0f8ae9a020e5f4,18,Wrapped Ether,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,18,Wrapped Ether,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xa9585dfc9e1d8c6b93ec874460952c657e4bd76c
4,LiquidationCall,0.0,5.219215821777986,0.0,18644463:5:0x5894f1fc734195c433af83b233a570cddeac33ddaf8f351ed3bb70fa2a60784a:39:39,0x80d4230c0a68fc59cb264329d3a717fcaa472a13,11801.254226324982,1700863967,0x5894f1fc734195c433af83b233a570cddeac33ddaf8f351ed3bb70fa2a60784a,18,Wrapped liquid staked Ether 2.0,0x7f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,18,Gho Token,0x40d16fc0246ad3160ccc09b8d0d3a2cd28ae6c2f,0xcd705dee3db92533fffa2bdd47b97ab573e8ed14
5,LiquidationCall,1782.44,0.0596038,0.0,18642893:12:0x40ab4ada945ebfcd99060dff05d9f2dbbf3a941d4b0aacbc3d7b7418c07f2faf:83:83,0x681d0d7196a036661b354fa2a7e3b73c2adc43ec,1.0250339818237033,1700844947,0x40ab4ada945ebfcd99060dff05d9f2dbbf3a941d4b0aacbc3d7b7418c07f2faf,8,Wrapped BTC,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,18,Wrapped Ether,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x88485489da15e0007b3f44eef761ac37910408e7
6,LiquidationCall,1.000059,9.221144596552444,1782.44,18634108:75:0x60a2f8a4f5941e652f133673cb57559a727b3b0cbe59893f4aa0ce6469d0e0e3:150:150,0x50a77ba863dbaa84269133e5625ef80072f1884a,18073.877141,1700738591,0x60a2f8a4f5941e652f133673cb57559a727b3b0cbe59893f4aa0ce6469d0e0e3,18,Wrapped Ether,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,6,USD Coin,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xded95478877fddea13805f6bac6b7988e319e585
7,LiquidationCall,0.0,91.54971546054108,6.32194,18630676:5:0x768a9d14792b82e6f358f05e71866df75dec61ae4fb21051a3a7b3727153e66b:28:28,0x6980a47bee930a4584b09ee79ebe46484fbdbdd0,1224.781633931968,1700697131,0x768a9d14792b82e6f358f05e71866df75dec61ae4fb21051a3a7b3727153e66b,18,ChainLink Token,0x514910771af9ca656af840dff83e8264ecf986ca,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,18,Gho Token,0x40d16fc0246ad3160ccc09b8d0d3a2cd28ae6c2f,0x34dab9a3e3b68c82ca933c0a4c4e0c30da794722
8,LiquidationCall,0.0,1.2391578010745914,1782.44,18630370:1:0xd5ea6536615f39fe95a5f4f5306b2f5a8b59181cec3809adb060f00f08ebb4d1:20:20,0x5c5c1776c16ef823e6582dd2747018ca5638e972,2449.5940587547634,1700693447,0xd5ea6536615f39fe95a5f4f5306b2f5a8b59181cec3809adb060f00f08ebb4d1,18,Wrapped Ether,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,18,Gho Token,0x40d16fc0246ad3160ccc09b8d0d3a2cd28ae6c2f,0x34dab9a3e3b68c82ca933c0a4c4e0c30da794722
9,LiquidationCall,0.0,359.4127429387841,6.32194,18629354:1:0x63c196142ba5cecb8ebd8a1415896e6260e8a345b9d67807243ec852e7d47031:20:20,0x5c5c1776c16ef823e6582dd2747018ca5638e972,4899.125230210503,1700681195,0x63c196142ba5cecb8ebd8a1415896e6260e8a345b9d67807243ec852e7d47031,18,ChainLink Token,0x514910771af9ca656af840dff83e8264ecf986ca,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,18,Gho Token,0x40d16fc0246ad3160ccc09b8d0d3a2cd28ae6c2f,0x34dab9a3e3b68c82ca933c0a4c4e0c30da794722
