,action,borrowAssetPriceUSD,collateralAmount,collateralAssetPriceUSD,id,liquidator,principalAmount,timestamp,txHash,collateral_reserve_decimals,collateral_reserve_name,collateralReserve.underlyingAsset,pool,principal_reserve_decimals,principal_reserve_name,principalReserve.underlyingAsset,user_id
0,LiquidationCall,1.00011,391.03172125694834,5.01596049,19537778:1:0x0c237c432909a5951c010f72181b79252d64a61d468e9e494bc2b7974321eb3a:19:19,0xda05b7967588454fb046f4358c022972f304db4b,4522.397352308532,1711692503,0x0c237c432909a5951c010f72181b79252d64a61d468e9e494bc2b7974321eb3a,18,Uniswap,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,18,Dai Stablecoin,0x6b175474e89094c44da98b954eedeac495271d0f,0x49dd823fcb32d279a78360a58a8d5501ae3b5c29
1,LiquidationCall,0.99940309,157.6946233309355,6.32194,19536686:1:0xafd3288a3ea74f348464f71755e078bcb672b8f462e0853a6ffa10254f547848:17:17,0xb206ebe579be55f5b57119bb2e7cc63708eda1aa,2804.949772,1711679291,0xafd3288a3ea74f348464f71755e078bcb672b8f462e0853a6ffa10254f547848,18,ChainLink Token,0x514910771af9ca656af840dff83e8264ecf986ca,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,6,Tether USD,0xdac17f958d2ee523a2206206994597c13d831ec7,0xe18ce7f849243a104d95cda5eca278088108d2c4
2,LiquidationCall,1.00003998,0.3293218964390815,1782.44,19505763:6:0x1a4a0b06ce3943a31e2f33b08b0f9f7b58a94b82a079092bc7860e49258f23cc:61:61,0x681d0d7196a036661b354fa2a7e3b73c2adc43ec,1057.023231,1711299875,0x1a4a0b06ce3943a31e2f33b08b0f9f7b58a94b82a079092bc7860e49258f23cc,18,Wrapped Ether,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,6,USD Coin,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x762c09d44af7bc2986c1257d6de312d3a9949427
3,LiquidationCall,1.00003654,0.1822188251651296,1782.44,19502460:13:0x28ab4ecb3bf6f22a098191268a19161e5296082a7ff2de2af3ebdd099b8c40d1:104:104,0x681d0d7196a036661b354fa2a7e3b73c2adc43ec,578.597414,1711259627,0x28ab4ecb3bf6f22a098191268a19161e5296082a7ff2de2af3ebdd099b8c40d1,18,Wrapped Ether,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,6,USD Coin,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xcd705dee3db92533fffa2bdd47b97ab573e8ed14
4,LiquidationCall,6.32194,0.2097841797218364,1782.44,19494636:16:0xb2f4c66f7c397371bdb519717e6d517fbad79dcfdfa3f242c1fdb43e1e07c5a1:87:87,0x681d0d7196a036661b354fa2a7e3b73c2adc43ec,36.59051909453962,1711164635,0xb2f4c66f7c397371bdb519717e6d517fbad79dcfdfa3f242c1fdb43e1e07c5a1,18,Wrapped Ether,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,18,ChainLink Token,0x514910771af9ca656af840dff83e8264ecf986ca,0x37ffe93c07b80062454dcca32c4c0971956ab0bd
5,LiquidationCall,1782.44,0.159485033660072,1782.44,19493247:24:0xb14db982a85156478a696de5fd6313f9d8ee3d8bc1dc5a4181cd84aa389d9afc:174:174,0x681d0d7196a036661b354fa2a7e3b73c2adc43ec,0.152617257090978,1711147847,0xb14db982a85156478a696de5fd6313f9d8ee3d8bc1dc5a4181cd84aa389d9afc,18,Wrapped Ether,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,18,Wrapped Ether,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x332a0cbcfe4812b32595d496079b78457b91d673
6,LiquidationCall,0.53887169,0.2123396853452155,1782.44,19492241:13:0x41862cb3e3575bc1c3dd0ea52d4c6dbf7ccde6bb335e39a02796b3e1e65a4ea8:113:113,0x681d0d7196a036661b354fa2a7e3b73c2adc43ec,1253.391099105021,1711135619,0x41862cb3e3575bc1c3dd0ea52d4c6dbf7ccde6bb335e39a02796b3e1e65a4ea8,18,Wrapped Ether,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,18,1INCH Token,0x111111111117dc0aa78b770fa6a738034120c302,0x37ffe93c07b80062454dcca32c4c0971956ab0bd
7,LiquidationCall,1.00038664,0.2164365391530251,1782.44,19486832:20:0x0d9160f2cc213ab0edf89d813cb238d8c604355b1c109df374b93d7dd8b7d701:213:213,0x681d0d7196a036661b354fa2a7e3b73c2adc43ec,722.701462,1711070135,0x0d9160f2cc213ab0edf89d813cb238d8c604355b1c109df374b93d7dd8b7d701,18,Wrapped Ether,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,6,Tether USD,0xdac17f958d2ee523a2206206994597c13d831ec7,0xc606d9ff4a927da404eebcce51890a2f38ed499f
8,LiquidationCall,1.00011,1.4901566196930691,1782.44,19477113:11:0x2c2f572d58c086f886319fb3fcfb61643f498cc45ed141d0cf00afa8d1539d67:75:75,0xda05b7967588454fb046f4358c022972f304db4b,4541.797219491555,1710952259,0x2c2f572d58c086f886319fb3fcfb61643f498cc45ed141d0cf00afa8d1539d67,18,Wrapped Ether,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,18,Dai Stablecoin,0x6b175474e89094c44da98b954eedeac495271d0f,0xcb405a36ec1e6f5060bae48732eb37338de24900
9,LiquidationCall,26.5601691,0.7579024815824572,1782.44,19474323:0:0x180d982cfdb9eb25fb86d8e7129431e7de7863de25a4064b237010d5d687fab4:15:15,0x000000005bcf85aad6ed1d32db5490deddfc97f9,85.89066471701706,1710918419,0x180d982cfdb9eb25fb86d8e7129431e7de7863de25a4064b237010d5d687fab4,18,Wrapped Ether,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,18,Rocket Pool Protocol,0xd33526068d116ce69f19a9ee46f0bd304f21a51f,0xe345e7ab438ceddc64a66def75289a212f6a7a1e
