,action,amount,assetPriceUSD,id,timestamp,txHash,useATokens,pool,repayer_id,reserve_decimals,reserve_name,underlying_asset,user_id
0,Repay,72.0,1573.70022,16529458:112:0xc80b04d8d56fec0a4ed0110f0b62af1787be225c200e9fc968140d4cc7c81d9f:246:246,1675200047,0xc80b04d8d56fec0a4ed0110f0b62af1787be225c200e9fc968140d4cc7c81d9f,False,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,0xd322a49006fc828f9b5b37ab215f99b4e5cab19c,18,Wrapped Ether,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xc5c758ca460ca1485ff199bef353d0ec5c483867
1,Repay,67991.07324437208,1.00104427,16529329:122:0x370a4403e1b9555681b9a463d4015117b16065d9d5ba24ff031405bab7a2e289:313:313,1675198487,0x370a4403e1b9555681b9a463d4015117b16065d9d5ba24ff031405bab7a2e289,False,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,0x7b92a37fed8daf82aa2cd04810e7d6c13b5e8e64,18,Dai Stablecoin,0x6b175474e89094c44da98b954eedeac495271d0f,0x7b92a37fed8daf82aa2cd04810e7d6c13b5e8e64
2,Repay,47.47465877437173,1590.31,16527963:68:0x7e554f5f6149d137ef149fb40f2e91d4c2bd3590e506a7bd14566bd0b7690a5b:128:128,1675182035,0x7e554f5f6149d137ef149fb40f2e91d4c2bd3590e506a7bd14566bd0b7690a5b,True,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,0xa9c39d49be0511fb4698f1452e267dbdda2f5b1e,18,Wrapped Ether,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xa9c39d49be0511fb4698f1452e267dbdda2f5b1e
3,Repay,330.00055,1.0002872,16527543:95:0x12147919fb03d787039bdbc6e6929cd97ae844565f04bb55c1e0eacc0139a057:178:178,1675176995,0x12147919fb03d787039bdbc6e6929cd97ae844565f04bb55c1e0eacc0139a057,False,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,0x9a85bd8bd893b4e9c8eaba833be24b0c09dc6e14,6,USD Coin,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x9a85bd8bd893b4e9c8eaba833be24b0c09dc6e14
4,Repay,1.0099735088748107,1583.83991,16527195:125:0x6e503026f4ce6f75cb05edb92735cd93c74a9cb46249cabdbacc63c5a813cc5e:325:325,1675172807,0x6e503026f4ce6f75cb05edb92735cd93c74a9cb46249cabdbacc63c5a813cc5e,False,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,0x1809f186d680f239420b56948c58f8dbbcdf1e18,18,Wrapped Ether,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xf76447312755e90b829e119f3201d16ed73c5145
5,Repay,431.862867,1.0002872,16526982:97:0x304895c4f99590033d11aaf37323590fb307f7d415de74ae2370ca017cf515e3:194:194,1675170227,0x304895c4f99590033d11aaf37323590fb307f7d415de74ae2370ca017cf515e3,False,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,0x2c667ca28a3c9a38d53cea38157f2021e93975a6,6,USD Coin,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x2c667ca28a3c9a38d53cea38157f2021e93975a6
6,Repay,5000.055499,1.0002872,16526778:96:0x784b6fad98656c331f8ea4ff99f82dfc7bf4a3b7d584432a8fb40dd2637fc4e6:206:206,1675167755,0x784b6fad98656c331f8ea4ff99f82dfc7bf4a3b7d584432a8fb40dd2637fc4e6,False,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,0x252f3d8e0aa1ee58e299700ea6dcc3f4e924586e,6,USD Coin,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x252f3d8e0aa1ee58e299700ea6dcc3f4e924586e
7,Repay,1413.9590082077243,1.00048945,16526755:94:0x810f0f5cfc675d609933ed8e3a0051bf136412a8ae265819b2998cb60c464d7a:138:138,1675167479,0x810f0f5cfc675d609933ed8e3a0051bf136412a8ae265819b2998cb60c464d7a,False,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,0xc0264f33b7f2d12703fd3da1b9c2a87d922dcd08,18,Dai Stablecoin,0x6b175474e89094c44da98b954eedeac495271d0f,0xc0264f33b7f2d12703fd3da1b9c2a87d922dcd08
8,Repay,4562.56506672,1.00048945,16526687:62:0xc8fd662e3910f99a693b3521013c57fb7461978afe74042af24f1f81e6e628b6:132:132,1675166663,0xc8fd662e3910f99a693b3521013c57fb7461978afe74042af24f1f81e6e628b6,False,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,0x0c50fdba9ddf40e18f58148523f658c1b8c7b21e,18,Dai Stablecoin,0x6b175474e89094c44da98b954eedeac495271d0f,0x0c50fdba9ddf40e18f58148523f658c1b8c7b21e
9,Repay,5495.276316,1.0002872,16526508:35:0x7e3a80f3b68663cc59aed9a783f3673dc3473919e9d2d504c717abeec8b9bded:62:62,1675164503,0x7e3a80f3b68663cc59aed9a783f3673dc3473919e9d2d504c717abeec8b9bded,False,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,0xc33a200a381913842cd17718071c6d8820cee156,6,USD Coin,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xc33a200a381913842cd17718071c6d8820cee156
10,Repay,3.295865604857462,0.0,16525086:33:0xb85e72564e5583f36faf9adc4bb3fbea14daf14ba5e300b23cb87bd6a85eb3dd:54:54,1675147343,0xb85e72564e5583f36faf9adc4bb3fbea14daf14ba5e300b23cb87bd6a85eb3dd,False,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,0x5bec16078aa490194f1fcdabc3cff760a45c20bc,18,Wrapped liquid staked Ether 2.0,0x7f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,0x5bec16078aa490194f1fcdabc3cff760a45c20bc
11,Repay,724.76667,0.99994455,16524774:85:0xdd6c679dfb93204659810c9d898c8dc47f8b145492dd3061390bc00342b482ed:144:144,1675143587,0xdd6c679dfb93204659810c9d898c8dc47f8b145492dd3061390bc00342b482ed,False,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,0xe8586c6d702c1a223380b6586dd3509443c7be86,6,USD Coin,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xe8586c6d702c1a223380b6586dd3509443c7be86
