,blockNumber,timestamp_hours,id,inputTokenPriceUSD,outputTokenPriceUSD,snapshot_timestamp,reserve_name,protocol_name,protocol,datetime
29,18036766,470419,0x5ee5bf7ae06d1be5997a1a72006fe6c607ec6de8932d0700,26162.540404,,1693511579,Wrapped BTC,Aave v3,Aave,2023-08-31 19:00:00+00:00
30,18036763,470419,0x98c23e9d8f34fefb1b7bd6a91b7ff122f4e16f5c932d0700,1.0,,1693511543,USD Coin,Aave v3,Aave,2023-08-31 19:00:00+00:00
31,18036763,470419,0x4d5f47fa6a74757f35c14fd3a6ef8e3c9bc514e8932d0700,1655.50407,,1693511543,Wrapped Ether,Aave v3,Aave,2023-08-31 19:00:00+00:00
32,18036762,470419,0x0b925ed163218f6662a35e0f0371ac234f9e9371932d0700,1883.89411719,,1693511531,Wrapped liquid staked Ether 2.0,Aave v3,Aave,2023-08-31 19:00:00+00:00
33,18036713,470419,0x4c612e3b15b96ff9a6faed838f8d07d479a8dd4c932d0700,1.03249596,,1693510919,Savings Dai,Aave v3,Aave,2023-08-31 19:00:00+00:00
34,18036695,470419,0x23878914efe38d27c4d67ab83ed1b93a74d4086a932d0700,1.0,,1693510691,Tether USD,Aave v3,Aave,2023-08-31 19:00:00+00:00
35,18036498,470418,0x98c23e9d8f34fefb1b7bd6a91b7ff122f4e16f5c922d0700,1.0,,1693508291,USD Coin,Aave v3,Aave,2023-08-31 18:00:00+00:00
36,18036491,470418,0x4d5f47fa6a74757f35c14fd3a6ef8e3c9bc514e8922d0700,1658.56,,1693508207,Wrapped Ether,Aave v3,Aave,2023-08-31 18:00:00+00:00
37,18036491,470418,0x0b925ed163218f6662a35e0f0371ac234f9e9371922d0700,1887.37163721,,1693508207,Wrapped liquid staked Ether 2.0,Aave v3,Aave,2023-08-31 18:00:00+00:00
38,18036458,470418,0x5ee5bf7ae06d1be5997a1a72006fe6c607ec6de8922d0700,26326.46016,,1693507811,Wrapped BTC,Aave v3,Aave,2023-08-31 18:00:00+00:00
39,18036412,470418,0xa700b4eb416be35b2911fd5dee80678ff64ff6c9922d0700,55.32666933,,1693507259,Aave Token,Aave v3,Aave,2023-08-31 18:00:00+00:00
40,18036338,470418,0xf6d2224916ddfbbab6e6bd0d1b7034f4ae0cab18922d0700,4.41726954,,1693506371,Uniswap,Aave v3,Aave,2023-08-31 18:00:00+00:00
41,18036331,470418,0x4c612e3b15b96ff9a6faed838f8d07d479a8dd4c922d0700,1.03246449,,1693506287,Savings Dai,Aave v3,Aave,2023-08-31 18:00:00+00:00
42,18036279,470418,0xcc9ee9483f662091a1de4795249e24ac0ac2630f922d0700,1794.91252909,,1693505663,Rocket Pool ETH,Aave v3,Aave,2023-08-31 18:00:00+00:00
43,18036206,470417,0x23878914efe38d27c4d67ab83ed1b93a74d4086a912d0700,1.0,,1693504787,Tether USD,Aave v3,Aave,2023-08-31 17:00:00+00:00
44,18036198,470417,0x4d5f47fa6a74757f35c14fd3a6ef8e3c9bc514e8912d0700,1658.62951902,,1693504691,Wrapped Ether,Aave v3,Aave,2023-08-31 17:00:00+00:00
45,18036197,470417,0x98c23e9d8f34fefb1b7bd6a91b7ff122f4e16f5c912d0700,1.0,,1693504679,USD Coin,Aave v3,Aave,2023-08-31 17:00:00+00:00
46,18036121,470417,0x0b925ed163218f6662a35e0f0371ac234f9e9371912d0700,1888.33890152,,1693503767,Wrapped liquid staked Ether 2.0,Aave v3,Aave,2023-08-31 17:00:00+00:00
47,18036113,470417,0x5ee5bf7ae06d1be5997a1a72006fe6c607ec6de8912d0700,26346.76044,,1693503671,Wrapped BTC,Aave v3,Aave,2023-08-31 17:00:00+00:00
48,18036103,470417,0x5e8c8a7243651db1384c0ddfdbe39761e8e7e51a912d0700,5.847979,,1693503551,ChainLink Token,Aave v3,Aave,2023-08-31 17:00:00+00:00
49,18036021,470417,0x71aef7b30728b9bb371578f36c5a1f1502a5723e912d0700,0.2462,,1693502567,1INCH Token,Aave v3,Aave,2023-08-31 17:00:00+00:00
50,18036004,470417,0x018008bfb33d285247a21d44e50697654f754e63912d0700,0.9998,,1693502363,Dai Stablecoin,Aave v3,Aave,2023-08-31 17:00:00+00:00
51,18035893,470416,0x98c23e9d8f34fefb1b7bd6a91b7ff122f4e16f5c902d0700,1.0,,1693501007,USD Coin,Aave v3,Aave,2023-08-31 16:00:00+00:00
52,18035867,470416,0x4d5f47fa6a74757f35c14fd3a6ef8e3c9bc514e8902d0700,1667.2746,,1693500695,Wrapped Ether,Aave v3,Aave,2023-08-31 16:00:00+00:00
53,18035867,470416,0x0b925ed163218f6662a35e0f0371ac234f9e9371902d0700,1897.28848609,,1693500695,Wrapped liquid staked Ether 2.0,Aave v3,Aave,2023-08-31 16:00:00+00:00
54,18035856,470416,0x5ee5bf7ae06d1be5997a1a72006fe6c607ec6de8902d0700,26509.32114997,,1693500563,Wrapped BTC,Aave v3,Aave,2023-08-31 16:00:00+00:00
55,18035766,470416,0x018008bfb33d285247a21d44e50697654f754e63902d0700,0.9998,,1693499483,Dai Stablecoin,Aave v3,Aave,2023-08-31 16:00:00+00:00
56,18035673,470416,0x3fe6a295459fae07df8a0cecc36f37160fe86aa9902d0700,0.99875732,,1693498355,LUSD Stablecoin,Aave v3,Aave,2023-08-31 16:00:00+00:00
57,18035624,470416,0x2516e7b3f76294e03c42aa4c5b5b4dce9c436fb8902d0700,3.56438824,,1693497767,Balancer,Aave v3,Aave,2023-08-31 16:00:00+00:00
58,18035599,470415,0x98c23e9d8f34fefb1b7bd6a91b7ff122f4e16f5c8f2d0700,1.0,,1693497467,USD Coin,Aave v3,Aave,2023-08-31 15:00:00+00:00
59,18035527,470415,0x4d5f47fa6a74757f35c14fd3a6ef8e3c9bc514e88f2d0700,1681.4,,1693496603,Wrapped Ether,Aave v3,Aave,2023-08-31 15:00:00+00:00
60,18035492,470415,0x018008bfb33d285247a21d44e50697654f754e638f2d0700,0.99997985,,1693496171,Dai Stablecoin,Aave v3,Aave,2023-08-31 15:00:00+00:00
61,18035448,470415,0x5ee5bf7ae06d1be5997a1a72006fe6c607ec6de88f2d0700,27155.690052,,1693495643,Wrapped BTC,Aave v3,Aave,2023-08-31 15:00:00+00:00
62,18035383,470415,0x23878914efe38d27c4d67ab83ed1b93a74d4086a8f2d0700,0.99995,,1693494851,Tether USD,Aave v3,Aave,2023-08-31 15:00:00+00:00
63,18035335,470415,0x977b6fc5de62598b08c85ac8cf2b745874e8b78c8f2d0700,1784.02518,,1693494275,Coinbase Wrapped Staked ETH,Aave v3,Aave,2023-08-31 15:00:00+00:00
64,18035322,470415,0x4c612e3b15b96ff9a6faed838f8d07d479a8dd4c8f2d0700,1.03234148,,1693494119,Savings Dai,Aave v3,Aave,2023-08-31 15:00:00+00:00
65,18035255,470414,0x4d5f47fa6a74757f35c14fd3a6ef8e3c9bc514e88e2d0700,1701.98078722,,1693493303,Wrapped Ether,Aave v3,Aave,2023-08-31 14:00:00+00:00
66,18035225,470414,0x3fe6a295459fae07df8a0cecc36f37160fe86aa98e2d0700,0.9991768,,1693492943,LUSD Stablecoin,Aave v3,Aave,2023-08-31 14:00:00+00:00
67,18035224,470414,0x23878914efe38d27c4d67ab83ed1b93a74d4086a8e2d0700,0.99995,,1693492931,Tether USD,Aave v3,Aave,2023-08-31 14:00:00+00:00
68,18035153,470414,0x98c23e9d8f34fefb1b7bd6a91b7ff122f4e16f5c8e2d0700,1.0,,1693492079,USD Coin,Aave v3,Aave,2023-08-31 14:00:00+00:00
