,blockNumber,timestamp_hours,id,inputTokenPriceUSD,outputTokenPriceUSD,snapshot_timestamp,reserve_name,protocol_name,protocol,datetime
0,17382265,468215,0x98c23e9d8f34fefb1b7bd6a91b7ff122f4e16f5cf7240700,0.9997,,1685577599,USD Coin,Aave v3,Aave,2023-05-31 23:00:00+00:00
1,17381973,468215,0x5ee5bf7ae06d1be5997a1a72006fe6c607ec6de8f7240700,27193.09593,,1685574059,Wrapped BTC,Aave v3,Aave,2023-05-31 23:00:00+00:00
2,17381902,468214,0x4d5f47fa6a74757f35c14fd3a6ef8e3c9bc514e8f6240700,1864.86699,,1685573195,Wrapped Ether,Aave v3,Aave,2023-05-31 22:00:00+00:00
3,17381893,468214,0x98c23e9d8f34fefb1b7bd6a91b7ff122f4e16f5cf6240700,0.9997,,1685573087,USD Coin,Aave v3,Aave,2023-05-31 22:00:00+00:00
4,17381833,468214,0x23878914efe38d27c4d67ab83ed1b93a74d4086af6240700,1.00024,,1685572355,Tether USD,Aave v3,Aave,2023-05-31 22:00:00+00:00
5,17381791,468214,0x0b925ed163218f6662a35e0f0371ac234f9e9371f6240700,2100.0923382,,1685571851,Wrapped liquid staked Ether 2.0,Aave v3,Aave,2023-05-31 22:00:00+00:00
6,17381688,468214,0x5ee5bf7ae06d1be5997a1a72006fe6c607ec6de8f6240700,27128.86294532,,1685570591,Wrapped BTC,Aave v3,Aave,2023-05-31 22:00:00+00:00
7,17381674,468214,0x977b6fc5de62598b08c85ac8cf2b745874e8b78cf6240700,1934.5701428,,1685570423,Coinbase Wrapped Staked ETH,Aave v3,Aave,2023-05-31 22:00:00+00:00
8,17381668,468213,0x4d5f47fa6a74757f35c14fd3a6ef8e3c9bc514e8f5240700,1864.86699,,1685570351,Wrapped Ether,Aave v3,Aave,2023-05-31 21:00:00+00:00
9,17381664,468213,0x0b925ed163218f6662a35e0f0371ac234f9e9371f5240700,2100.0923382,,1685570303,Wrapped liquid staked Ether 2.0,Aave v3,Aave,2023-05-31 21:00:00+00:00
10,17381555,468213,0xcc9ee9483f662091a1de4795249e24ac0ac2630ff5240700,2001.43178143,,1685568959,Rocket Pool ETH,Aave v3,Aave,2023-05-31 21:00:00+00:00
11,17381553,468213,0x5ee5bf7ae06d1be5997a1a72006fe6c607ec6de8f5240700,27155.22092633,,1685568935,Wrapped BTC,Aave v3,Aave,2023-05-31 21:00:00+00:00
12,17381538,468213,0x98c23e9d8f34fefb1b7bd6a91b7ff122f4e16f5cf5240700,0.9997,,1685568755,USD Coin,Aave v3,Aave,2023-05-31 21:00:00+00:00
13,17381483,468213,0x3fe6a295459fae07df8a0cecc36f37160fe86aa9f5240700,1.00606566,,1685568095,LUSD Stablecoin,Aave v3,Aave,2023-05-31 21:00:00+00:00
14,17381410,468213,0x23878914efe38d27c4d67ab83ed1b93a74d4086af5240700,1.00024,,1685567195,Tether USD,Aave v3,Aave,2023-05-31 21:00:00+00:00
15,17381321,468212,0x23878914efe38d27c4d67ab83ed1b93a74d4086af4240700,1.00024,,1685566127,Tether USD,Aave v3,Aave,2023-05-31 20:00:00+00:00
