,blockNumber,timestamp_hours,id,inputTokenPriceUSD,outputTokenPriceUSD,snapshot_timestamp,reserve_name,protocol_name,protocol,datetime
0,21089063,480671,0x98c23e9d8f34fefb1b7bd6a91b7ff122f4e16f5c9f550700,0.99991988,,1730419139,USD Coin,Aave v3,Aave,2024-10-31 23:00:00+00:00
1,21089063,480671,0x4d5f47fa6a74757f35c14fd3a6ef8e3c9bc514e89f550700,2517.13620867,,1730419139,Wrapped Ether,Aave v3,Aave,2024-10-31 23:00:00+00:00
2,21089060,480671,0x23878914efe38d27c4d67ab83ed1b93a74d4086a9f550700,0.99970999,,1730419103,Tether USD,Aave v3,Aave,2024-10-31 23:00:00+00:00
3,21089058,480671,0x32a6268f9ba3642dda7892add74f1d34469a42599f550700,0.99985377,,1730419079,,Aave v3,Aave,2024-10-31 23:00:00+00:00
4,21089020,480671,0x00907f9921424583e7ffbfedf84f92b7b2be49779f550700,1.0,,1730418623,Gho Token,Aave v3,Aave,2024-10-31 23:00:00+00:00
5,21089009,480671,0x10ac93971cdb1f5c778144084242374473c350da9f550700,70407.65981325,,1730418491,,Aave v3,Aave,2024-10-31 23:00:00+00:00
6,21088996,480671,0xcc9ee9483f662091a1de4795249e24ac0ac2630f9f550700,2818.22381802,,1730418335,Rocket Pool ETH,Aave v3,Aave,2024-10-31 23:00:00+00:00
7,21088966,480671,0x5ee5bf7ae06d1be5997a1a72006fe6c607ec6de89f550700,70280.9253215,,1730417975,Wrapped BTC,Aave v3,Aave,2024-10-31 23:00:00+00:00
8,21088932,480671,0x5e8c8a7243651db1384c0ddfdbe39761e8e7e51a9f550700,11.4006551,,1730417567,ChainLink Token,Aave v3,Aave,2024-10-31 23:00:00+00:00
9,21088907,480671,0xa700b4eb416be35b2911fd5dee80678ff64ff6c99f550700,143.4775518,,1730417267,Aave Token,Aave v3,Aave,2024-10-31 23:00:00+00:00
10,21088818,480671,0xbdfa7b7893081b35fb54027489e2bc7a382751299f550700,2648.91619771,,1730416199,,Aave v3,Aave,2024-10-31 23:00:00+00:00
11,21088770,480671,0x5c647ce0ae10658ec44fa4e11a51c96e94efd1dd9f550700,70236.85873727,,1730415611,,Aave v3,Aave,2024-10-31 23:00:00+00:00
12,21088768,480670,0x98c23e9d8f34fefb1b7bd6a91b7ff122f4e16f5c9e550700,0.99991988,,1730415587,USD Coin,Aave v3,Aave,2024-10-31 22:00:00+00:00
13,21088762,480670,0x4d5f47fa6a74757f35c14fd3a6ef8e3c9bc514e89e550700,2518.96,,1730415515,Wrapped Ether,Aave v3,Aave,2024-10-31 22:00:00+00:00
14,21088757,480670,0x5c647ce0ae10658ec44fa4e11a51c96e94efd1dd9e550700,70236.85873727,,1730415455,,Aave v3,Aave,2024-10-31 22:00:00+00:00
15,21088727,480670,0xa700b4eb416be35b2911fd5dee80678ff64ff6c99e550700,142.4402941,,1730415095,Aave Token,Aave v3,Aave,2024-10-31 22:00:00+00:00
16,21088718,480670,0x00907f9921424583e7ffbfedf84f92b7b2be49779e550700,1.0,,1730414975,Gho Token,Aave v3,Aave,2024-10-31 22:00:00+00:00
17,21088712,480670,0xbdfa7b7893081b35fb54027489e2bc7a382751299e550700,2648.91619771,,1730414903,,Aave v3,Aave,2024-10-31 22:00:00+00:00
18,21088653,480670,0x23878914efe38d27c4d67ab83ed1b93a74d4086a9e550700,0.99970999,,1730414195,Tether USD,Aave v3,Aave,2024-10-31 22:00:00+00:00
19,21088554,480670,0x5e8c8a7243651db1384c0ddfdbe39761e8e7e51a9e550700,11.38848211,,1730413007,ChainLink Token,Aave v3,Aave,2024-10-31 22:00:00+00:00
20,21088533,480670,0x9a44fd41566876a39655f74971a3a6ea0a17a4549e550700,1.04151233,,1730412755,Lido DAO Token,Aave v3,Aave,2024-10-31 22:00:00+00:00
21,21088527,480670,0x018008bfb33d285247a21d44e50697654f754e639e550700,0.9998036,,1730412683,Dai Stablecoin,Aave v3,Aave,2024-10-31 22:00:00+00:00
22,21088507,480670,0x5ee5bf7ae06d1be5997a1a72006fe6c607ec6de89e550700,70013.38941994,,1730412443,Wrapped BTC,Aave v3,Aave,2024-10-31 22:00:00+00:00
23,21088468,480669,0x4d5f47fa6a74757f35c14fd3a6ef8e3c9bc514e89d550700,2521.61,,1730411975,Wrapped Ether,Aave v3,Aave,2024-10-31 21:00:00+00:00
24,21088466,480669,0x98c23e9d8f34fefb1b7bd6a91b7ff122f4e16f5c9d550700,0.99991988,,1730411951,USD Coin,Aave v3,Aave,2024-10-31 21:00:00+00:00
25,21088466,480669,0x5ee5bf7ae06d1be5997a1a72006fe6c607ec6de89d550700,70013.38941994,,1730411951,Wrapped BTC,Aave v3,Aave,2024-10-31 21:00:00+00:00
26,21088464,480669,0x23878914efe38d27c4d67ab83ed1b93a74d4086a9d550700,0.99970999,,1730411927,Tether USD,Aave v3,Aave,2024-10-31 21:00:00+00:00
27,21088453,480669,0xbdfa7b7893081b35fb54027489e2bc7a382751299d550700,2645.02531023,,1730411795,,Aave v3,Aave,2024-10-31 21:00:00+00:00
28,21088447,480669,0x0b925ed163218f6662a35e0f0371ac234f9e93719d550700,2976.64905143,,1730411723,Wrapped liquid staked Ether 2.0,Aave v3,Aave,2024-10-31 21:00:00+00:00
29,21088444,480669,0xcc9ee9483f662091a1de4795249e24ac0ac2630f9d550700,2816.12318638,,1730411687,Rocket Pool ETH,Aave v3,Aave,2024-10-31 21:00:00+00:00
