,blockNumber,timestamp_hours,id,inputTokenPriceUSD,outputTokenPriceUSD,snapshot_timestamp,reserve_name,protocol_name,protocol,datetime
0,20207938,477719,0x5ee5bf7ae06d1be5997a1a72006fe6c607ec6de8174a0700,62796.5552605,,1719791879,Wrapped BTC,Aave v3,Aave,2024-06-30 23:00:00+00:00
1,20207938,477719,0x23878914efe38d27c4d67ab83ed1b93a74d4086a174a0700,0.99815465,,1719791879,Tether USD,Aave v3,Aave,2024-06-30 23:00:00+00:00
2,20207933,477719,0x4d5f47fa6a74757f35c14fd3a6ef8e3c9bc514e8174a0700,3436.0029,,1719791819,Wrapped Ether,Aave v3,Aave,2024-06-30 23:00:00+00:00
3,20207897,477719,0x545bd6c032efdde65a377a6719def2796c8e0f2e174a0700,30.517,,1719791387,Ethereum Name Service,Aave v3,Aave,2024-06-30 23:00:00+00:00
4,20207897,477719,0x0c0d01abf3e6adfca0989ebba9d6e85dd58eab1e174a0700,0.9991,,1719791387,,Aave v3,Aave,2024-06-30 23:00:00+00:00
5,20207836,477719,0x98c23e9d8f34fefb1b7bd6a91b7ff122f4e16f5c174a0700,0.99987724,,1719790655,USD Coin,Aave v3,Aave,2024-06-30 23:00:00+00:00
6,20207821,477719,0x00907f9921424583e7ffbfedf84f92b7b2be4977174a0700,1.0,,1719790475,Gho Token,Aave v3,Aave,2024-06-30 23:00:00+00:00
7,20207817,477719,0x5e8c8a7243651db1384c0ddfdbe39761e8e7e51a174a0700,14.26997,,1719790427,ChainLink Token,Aave v3,Aave,2024-06-30 23:00:00+00:00
8,20207738,477719,0x2516e7b3f76294e03c42aa4c5b5b4dce9c436fb8174a0700,3.01660725,,1719789479,Balancer,Aave v3,Aave,2024-06-30 23:00:00+00:00
9,20207731,477719,0x018008bfb33d285247a21d44e50697654f754e63174a0700,1.00000318,,1719789395,Dai Stablecoin,Aave v3,Aave,2024-06-30 23:00:00+00:00
10,20207675,477719,0x0b925ed163218f6662a35e0f0371ac234f9e9371174a0700,4034.55382321,,1719788711,Wrapped liquid staked Ether 2.0,Aave v3,Aave,2024-06-30 23:00:00+00:00
11,20207647,477718,0x5ee5bf7ae06d1be5997a1a72006fe6c607ec6de8164a0700,62846.61859968,,1719788375,Wrapped BTC,Aave v3,Aave,2024-06-30 22:00:00+00:00
12,20207641,477718,0x2516e7b3f76294e03c42aa4c5b5b4dce9c436fb8164a0700,3.01660725,,1719788303,Balancer,Aave v3,Aave,2024-06-30 22:00:00+00:00
13,20207638,477718,0x23878914efe38d27c4d67ab83ed1b93a74d4086a164a0700,0.99815465,,1719788267,Tether USD,Aave v3,Aave,2024-06-30 22:00:00+00:00
14,20207634,477718,0x98c23e9d8f34fefb1b7bd6a91b7ff122f4e16f5c164a0700,0.99987724,,1719788219,USD Coin,Aave v3,Aave,2024-06-30 22:00:00+00:00
15,20207633,477718,0x4d5f47fa6a74757f35c14fd3a6ef8e3c9bc514e8164a0700,3444.4608,,1719788207,Wrapped Ether,Aave v3,Aave,2024-06-30 22:00:00+00:00
16,20207600,477718,0x0b925ed163218f6662a35e0f0371ac234f9e9371164a0700,4037.51861272,,1719787811,Wrapped liquid staked Ether 2.0,Aave v3,Aave,2024-06-30 22:00:00+00:00
17,20207567,477718,0x00907f9921424583e7ffbfedf84f92b7b2be4977164a0700,1.0,,1719787415,Gho Token,Aave v3,Aave,2024-06-30 22:00:00+00:00
18,20207560,477718,0x018008bfb33d285247a21d44e50697654f754e63164a0700,0.99982756,,1719787319,Dai Stablecoin,Aave v3,Aave,2024-06-30 22:00:00+00:00
19,20207530,477718,0x7b95ec873268a6bfc6427e7a28e396db9d0ebc65164a0700,0.28496,,1719786959,Curve DAO Token,Aave v3,Aave,2024-06-30 22:00:00+00:00
20,20207512,477718,0x8a458a9dc9048e005d22849f470891b840296619164a0700,2523.85,,1719786743,Maker,Aave v3,Aave,2024-06-30 22:00:00+00:00
21,20207379,477718,0xcc9ee9483f662091a1de4795249e24ac0ac2630f164a0700,3783.67883745,,1719785147,Rocket Pool ETH,Aave v3,Aave,2024-06-30 22:00:00+00:00
22,20207350,477717,0x98c23e9d8f34fefb1b7bd6a91b7ff122f4e16f5c154a0700,0.99987724,,1719784799,USD Coin,Aave v3,Aave,2024-06-30 21:00:00+00:00
23,20207350,477717,0x4d5f47fa6a74757f35c14fd3a6ef8e3c9bc514e8154a0700,3408.83493183,,1719784799,Wrapped Ether,Aave v3,Aave,2024-06-30 21:00:00+00:00
24,20207350,477717,0x23878914efe38d27c4d67ab83ed1b93a74d4086a154a0700,0.99815465,,1719784799,Tether USD,Aave v3,Aave,2024-06-30 21:00:00+00:00
25,20207270,477717,0x5ee5bf7ae06d1be5997a1a72006fe6c607ec6de8154a0700,62020.2830436,,1719783839,Wrapped BTC,Aave v3,Aave,2024-06-30 21:00:00+00:00
26,20207249,477717,0x018008bfb33d285247a21d44e50697654f754e63154a0700,0.99998241,,1719783587,Dai Stablecoin,Aave v3,Aave,2024-06-30 21:00:00+00:00
27,20207238,477717,0xbdfa7b7893081b35fb54027489e2bc7a38275129154a0700,3564.20267004,,1719783455,,Aave v3,Aave,2024-06-30 21:00:00+00:00
28,20207105,477717,0x5e8c8a7243651db1384c0ddfdbe39761e8e7e51a154a0700,14.03682971,,1719781859,ChainLink Token,Aave v3,Aave,2024-06-30 21:00:00+00:00
29,20207059,477717,0xcc9ee9483f662091a1de4795249e24ac0ac2630f154a0700,3797.22600505,,1719781307,Rocket Pool ETH,Aave v3,Aave,2024-06-30 21:00:00+00:00
30,20207059,477717,0x4f5923fc5fd4a93352581b38b7cd26943012decf154a0700,0.99899772,,1719781307,,Aave v3,Aave,2024-06-30 21:00:00+00:00
31,20207043,477716,0x23878914efe38d27c4d67ab83ed1b93a74d4086a144a0700,0.99815465,,1719781115,Tether USD,Aave v3,Aave,2024-06-30 20:00:00+00:00
32,20207042,477716,0x4d5f47fa6a74757f35c14fd3a6ef8e3c9bc514e8144a0700,3421.04,,1719781103,Wrapped Ether,Aave v3,Aave,2024-06-30 20:00:00+00:00
33,20207040,477716,0x5e8c8a7243651db1384c0ddfdbe39761e8e7e51a144a0700,14.03682971,,1719781079,ChainLink Token,Aave v3,Aave,2024-06-30 20:00:00+00:00
34,20207039,477716,0x5ee5bf7ae06d1be5997a1a72006fe6c607ec6de8144a0700,62020.2830436,,1719781067,Wrapped BTC,Aave v3,Aave,2024-06-30 20:00:00+00:00
35,20206978,477716,0x00907f9921424583e7ffbfedf84f92b7b2be4977144a0700,1.0,,1719780335,Gho Token,Aave v3,Aave,2024-06-30 20:00:00+00:00
36,20206974,477716,0xb76cf92076adbf1d9c39294fa8e7a67579fde357144a0700,19.8719426,,1719780287,Rocket Pool Protocol,Aave v3,Aave,2024-06-30 20:00:00+00:00
37,20206971,477716,0x98c23e9d8f34fefb1b7bd6a91b7ff122f4e16f5c144a0700,0.99987724,,1719780251,USD Coin,Aave v3,Aave,2024-06-30 20:00:00+00:00
38,20206971,477716,0x0b925ed163218f6662a35e0f0371ac234f9e9371144a0700,4011.94064265,,1719780251,Wrapped liquid staked Ether 2.0,Aave v3,Aave,2024-06-30 20:00:00+00:00
39,20206936,477716,0xa700b4eb416be35b2911fd5dee80678ff64ff6c9144a0700,95.54868494,,1719779831,Aave Token,Aave v3,Aave,2024-06-30 20:00:00+00:00
40,20206904,477716,0x4579a27af00a62c0eb156349f31b345c08386419144a0700,1.08312413,,1719779447,,Aave v3,Aave,2024-06-30 20:00:00+00:00
41,20206900,477716,0x4f5923fc5fd4a93352581b38b7cd26943012decf144a0700,0.99899772,,1719779399,,Aave v3,Aave,2024-06-30 20:00:00+00:00
42,20206856,477716,0x2516e7b3f76294e03c42aa4c5b5b4dce9c436fb8144a0700,2.95687574,,1719778871,Balancer,Aave v3,Aave,2024-06-30 20:00:00+00:00
43,20206843,477716,0x018008bfb33d285247a21d44e50697654f754e63144a0700,1.0000211,,1719778715,Dai Stablecoin,Aave v3,Aave,2024-06-30 20:00:00+00:00
44,20206748,477715,0x4d5f47fa6a74757f35c14fd3a6ef8e3c9bc514e8134a0700,3425.15501864,,1719777575,Wrapped Ether,Aave v3,Aave,2024-06-30 19:00:00+00:00
45,20206746,477715,0x98c23e9d8f34fefb1b7bd6a91b7ff122f4e16f5c134a0700,0.99987724,,1719777551,USD Coin,Aave v3,Aave,2024-06-30 19:00:00+00:00
46,20206746,477715,0x0b925ed163218f6662a35e0f0371ac234f9e9371134a0700,4011.94064265,,1719777551,Wrapped liquid staked Ether 2.0,Aave v3,Aave,2024-06-30 19:00:00+00:00
47,20206746,477715,0x018008bfb33d285247a21d44e50697654f754e63134a0700,1.0000211,,1719777551,Dai Stablecoin,Aave v3,Aave,2024-06-30 19:00:00+00:00
48,20206730,477715,0x5ee5bf7ae06d1be5997a1a72006fe6c607ec6de8134a0700,62021.29385774,,1719777359,Wrapped BTC,Aave v3,Aave,2024-06-30 19:00:00+00:00
49,20206684,477715,0x23878914efe38d27c4d67ab83ed1b93a74d4086a134a0700,0.99815465,,1719776807,Tether USD,Aave v3,Aave,2024-06-30 19:00:00+00:00
50,20206616,477715,0x4579a27af00a62c0eb156349f31b345c08386419134a0700,1.08311453,,1719775991,,Aave v3,Aave,2024-06-30 19:00:00+00:00
51,20206521,477715,0x5e8c8a7243651db1384c0ddfdbe39761e8e7e51a134a0700,13.87084,,1719774851,ChainLink Token,Aave v3,Aave,2024-06-30 19:00:00+00:00
52,20206444,477714,0x23878914efe38d27c4d67ab83ed1b93a74d4086a124a0700,0.99815465,,1719773927,Tether USD,Aave v3,Aave,2024-06-30 18:00:00+00:00
53,20206424,477714,0x4d5f47fa6a74757f35c14fd3a6ef8e3c9bc514e8124a0700,3407.06,,1719773687,Wrapped Ether,Aave v3,Aave,2024-06-30 18:00:00+00:00
54,20206400,477714,0x0b925ed163218f6662a35e0f0371ac234f9e9371124a0700,3990.74564846,,1719773399,Wrapped liquid staked Ether 2.0,Aave v3,Aave,2024-06-30 18:00:00+00:00
55,20206383,477714,0x545bd6c032efdde65a377a6719def2796c8e0f2e124a0700,28.58231444,,1719773195,Ethereum Name Service,Aave v3,Aave,2024-06-30 18:00:00+00:00
