,blockNumber,timestamp_hours,id,inputTokenPriceUSD,outputTokenPriceUSD,snapshot_timestamp,reserve_name,protocol_name,protocol,datetime
0,17816427,469679,0x0b925ed163218f6662a35e0f0371ac234f9e9371af2a0700,2104.95297883,,1690847927,Wrapped liquid staked Ether 2.0,Aave v3,Aave,2023-07-31 23:00:00+00:00
1,17816424,469679,0x98c23e9d8f34fefb1b7bd6a91b7ff122f4e16f5caf2a0700,0.99996363,,1690847891,USD Coin,Aave v3,Aave,2023-07-31 23:00:00+00:00
2,17816386,469679,0x4d5f47fa6a74757f35c14fd3a6ef8e3c9bc514e8af2a0700,1855.59647616,,1690847435,Wrapped Ether,Aave v3,Aave,2023-07-31 23:00:00+00:00
3,17816367,469679,0x5ee5bf7ae06d1be5997a1a72006fe6c607ec6de8af2a0700,29201.79431113,,1690847207,Wrapped BTC,Aave v3,Aave,2023-07-31 23:00:00+00:00
4,17816362,469679,0x7b95ec873268a6bfc6427e7a28e396db9d0ebc65af2a0700,0.57173987,,1690847147,Curve DAO Token,Aave v3,Aave,2023-07-31 23:00:00+00:00
5,17816255,469679,0x018008bfb33d285247a21d44e50697654f754e63af2a0700,0.99985786,,1690845851,Dai Stablecoin,Aave v3,Aave,2023-07-31 23:00:00+00:00
6,17816239,469679,0xa700b4eb416be35b2911fd5dee80678ff64ff6c9af2a0700,65.4734,,1690845659,Aave Token,Aave v3,Aave,2023-07-31 23:00:00+00:00
7,17816225,469679,0x00907f9921424583e7ffbfedf84f92b7b2be4977af2a0700,1.0,,1690845491,Gho Token,Aave v3,Aave,2023-07-31 23:00:00+00:00
8,17816221,469679,0x23878914efe38d27c4d67ab83ed1b93a74d4086aaf2a0700,0.99989,,1690845443,Tether USD,Aave v3,Aave,2023-07-31 23:00:00+00:00
9,17816150,469679,0x3fe6a295459fae07df8a0cecc36f37160fe86aa9af2a0700,0.99931303,,1690844579,LUSD Stablecoin,Aave v3,Aave,2023-07-31 23:00:00+00:00
10,17816134,469678,0x4d5f47fa6a74757f35c14fd3a6ef8e3c9bc514e8ae2a0700,1855.59647616,,1690844387,Wrapped Ether,Aave v3,Aave,2023-07-31 22:00:00+00:00
11,17816130,469678,0x23878914efe38d27c4d67ab83ed1b93a74d4086aae2a0700,0.99989,,1690844339,Tether USD,Aave v3,Aave,2023-07-31 22:00:00+00:00
12,17816113,469678,0x98c23e9d8f34fefb1b7bd6a91b7ff122f4e16f5cae2a0700,0.99996363,,1690844135,USD Coin,Aave v3,Aave,2023-07-31 22:00:00+00:00
13,17816110,469678,0x3fe6a295459fae07df8a0cecc36f37160fe86aa9ae2a0700,0.99870404,,1690844099,LUSD Stablecoin,Aave v3,Aave,2023-07-31 22:00:00+00:00
14,17816104,469678,0x7b95ec873268a6bfc6427e7a28e396db9d0ebc65ae2a0700,0.566,,1690844027,Curve DAO Token,Aave v3,Aave,2023-07-31 22:00:00+00:00
15,17816091,469678,0xf6d2224916ddfbbab6e6bd0d1b7034f4ae0cab18ae2a0700,6.536,,1690843871,Uniswap,Aave v3,Aave,2023-07-31 22:00:00+00:00
16,17816078,469678,0xa700b4eb416be35b2911fd5dee80678ff64ff6c9ae2a0700,65.4734,,1690843715,Aave Token,Aave v3,Aave,2023-07-31 22:00:00+00:00
17,17816065,469678,0x5ee5bf7ae06d1be5997a1a72006fe6c607ec6de8ae2a0700,29219.80410302,,1690843559,Wrapped BTC,Aave v3,Aave,2023-07-31 22:00:00+00:00
18,17815980,469678,0x0b925ed163218f6662a35e0f0371ac234f9e9371ae2a0700,2103.57620827,,1690842539,Wrapped liquid staked Ether 2.0,Aave v3,Aave,2023-07-31 22:00:00+00:00
19,17815971,469678,0xcc9ee9483f662091a1de4795249e24ac0ac2630fae2a0700,2001.01019266,,1690842431,Rocket Pool ETH,Aave v3,Aave,2023-07-31 22:00:00+00:00
20,17815962,469678,0x5e8c8a7243651db1384c0ddfdbe39761e8e7e51aae2a0700,7.50175038,,1690842323,ChainLink Token,Aave v3,Aave,2023-07-31 22:00:00+00:00
21,17815958,469678,0x00907f9921424583e7ffbfedf84f92b7b2be4977ae2a0700,1.0,,1690842275,Gho Token,Aave v3,Aave,2023-07-31 22:00:00+00:00
22,17815926,469678,0xd4e245848d6e1220dbe62e155d89fa327e43cb06ae2a0700,0.99803305,,1690841891,Frax,Aave v3,Aave,2023-07-31 22:00:00+00:00
23,17815844,469678,0x018008bfb33d285247a21d44e50697654f754e63ae2a0700,0.9999,,1690840907,Dai Stablecoin,Aave v3,Aave,2023-07-31 22:00:00+00:00
24,17815835,469677,0x4d5f47fa6a74757f35c14fd3a6ef8e3c9bc514e8ad2a0700,1854.71,,1690840799,Wrapped Ether,Aave v3,Aave,2023-07-31 21:00:00+00:00
25,17815832,469677,0x98c23e9d8f34fefb1b7bd6a91b7ff122f4e16f5cad2a0700,0.99996363,,1690840763,USD Coin,Aave v3,Aave,2023-07-31 21:00:00+00:00
26,17815795,469677,0x0b925ed163218f6662a35e0f0371ac234f9e9371ad2a0700,2101.70481018,,1690840319,Wrapped liquid staked Ether 2.0,Aave v3,Aave,2023-07-31 21:00:00+00:00
27,17815792,469677,0x977b6fc5de62598b08c85ac8cf2b745874e8b78cad2a0700,1934.16462798,,1690840283,Coinbase Wrapped Staked ETH,Aave v3,Aave,2023-07-31 21:00:00+00:00
28,17815787,469677,0x5ee5bf7ae06d1be5997a1a72006fe6c607ec6de8ad2a0700,29193.7597466,,1690840223,Wrapped BTC,Aave v3,Aave,2023-07-31 21:00:00+00:00
29,17815780,469677,0x00907f9921424583e7ffbfedf84f92b7b2be4977ad2a0700,1.0,,1690840139,Gho Token,Aave v3,Aave,2023-07-31 21:00:00+00:00
30,17815765,469677,0x9a44fd41566876a39655f74971a3a6ea0a17a454ad2a0700,1.84806951,,1690839947,Lido DAO Token,Aave v3,Aave,2023-07-31 21:00:00+00:00
31,17815763,469677,0x23878914efe38d27c4d67ab83ed1b93a74d4086aad2a0700,0.99989,,1690839923,Tether USD,Aave v3,Aave,2023-07-31 21:00:00+00:00
32,17815763,469677,0x018008bfb33d285247a21d44e50697654f754e63ad2a0700,0.9999,,1690839923,Dai Stablecoin,Aave v3,Aave,2023-07-31 21:00:00+00:00
33,17815589,469677,0xf6d2224916ddfbbab6e6bd0d1b7034f4ae0cab18ad2a0700,6.485,,1690837811,Uniswap,Aave v3,Aave,2023-07-31 21:00:00+00:00
34,17815584,469677,0x7b95ec873268a6bfc6427e7a28e396db9d0ebc65ad2a0700,0.5562,,1690837751,Curve DAO Token,Aave v3,Aave,2023-07-31 21:00:00+00:00
35,17815535,469676,0x4d5f47fa6a74757f35c14fd3a6ef8e3c9bc514e8ac2a0700,1853.06,,1690837163,Wrapped Ether,Aave v3,Aave,2023-07-31 20:00:00+00:00
