,blockNumber,timestamp_hours,id,inputTokenPriceUSD,outputTokenPriceUSD,snapshot_timestamp,reserve_name,protocol_name,protocol,datetime
0,19771555,476255,0x98c23e9d8f34fefb1b7bd6a91b7ff122f4e16f5c5f440700,0.99999942,,1714521551,USD Coin,Aave v3,Aave,2024-04-30 23:00:00+00:00
1,19771555,476255,0x4d5f47fa6a74757f35c14fd3a6ef8e3c9bc514e85f440700,3017.9482358,,1714521551,Wrapped Ether,Aave v3,Aave,2024-04-30 23:00:00+00:00
2,19771547,476255,0x23878914efe38d27c4d67ab83ed1b93a74d4086a5f440700,0.9996719,,1714521455,Tether USD,Aave v3,Aave,2024-04-30 23:00:00+00:00
3,19771530,476255,0x0b925ed163218f6662a35e0f0371ac234f9e93715f440700,3517.77552963,,1714521251,Wrapped liquid staked Ether 2.0,Aave v3,Aave,2024-04-30 23:00:00+00:00
4,19771502,476255,0x5ee5bf7ae06d1be5997a1a72006fe6c607ec6de85f440700,60456.7463127,,1714520915,Wrapped BTC,Aave v3,Aave,2024-04-30 23:00:00+00:00
5,19771457,476255,0x9a44fd41566876a39655f74971a3a6ea0a17a4545f440700,1.86982128,,1714520375,Lido DAO Token,Aave v3,Aave,2024-04-30 23:00:00+00:00
6,19771331,476255,0x00907f9921424583e7ffbfedf84f92b7b2be49775f440700,1.0,,1714518851,Gho Token,Aave v3,Aave,2024-04-30 23:00:00+00:00
7,19771324,476255,0x7b95ec873268a6bfc6427e7a28e396db9d0ebc655f440700,0.40955576,,1714518767,Curve DAO Token,Aave v3,Aave,2024-04-30 23:00:00+00:00
8,19771299,476255,0x5e8c8a7243651db1384c0ddfdbe39761e8e7e51a5f440700,13.17642444,,1714518467,ChainLink Token,Aave v3,Aave,2024-04-30 23:00:00+00:00
9,19771249,476254,0x98c23e9d8f34fefb1b7bd6a91b7ff122f4e16f5c5e440700,0.99999942,,1714517867,USD Coin,Aave v3,Aave,2024-04-30 22:00:00+00:00
10,19771249,476254,0x4d5f47fa6a74757f35c14fd3a6ef8e3c9bc514e85e440700,3003.8179689,,1714517867,Wrapped Ether,Aave v3,Aave,2024-04-30 22:00:00+00:00
11,19771246,476254,0x82f9c5ad306bba1ad0de49bb5fa6f01bf61085ef5e440700,4.13372314,,1714517819,Frax Share,Aave v3,Aave,2024-04-30 22:00:00+00:00
12,19771234,476254,0x5e8c8a7243651db1384c0ddfdbe39761e8e7e51a5e440700,13.17642444,,1714517675,ChainLink Token,Aave v3,Aave,2024-04-30 22:00:00+00:00
13,19771211,476254,0xcc9ee9483f662091a1de4795249e24ac0ac2630f5e440700,3334.99523183,,1714517399,Rocket Pool ETH,Aave v3,Aave,2024-04-30 22:00:00+00:00
14,19771211,476254,0x018008bfb33d285247a21d44e50697654f754e635e440700,0.99975884,,1714517399,Dai Stablecoin,Aave v3,Aave,2024-04-30 22:00:00+00:00
15,19771210,476254,0x23878914efe38d27c4d67ab83ed1b93a74d4086a5e440700,0.9996719,,1714517387,Tether USD,Aave v3,Aave,2024-04-30 22:00:00+00:00
16,19771177,476254,0x0b925ed163218f6662a35e0f0371ac234f9e93715e440700,3517.0135484,,1714516991,Wrapped liquid staked Ether 2.0,Aave v3,Aave,2024-04-30 22:00:00+00:00
