,regular_datetime,accruedToTreasury,availableLiquidity,averageStableBorrowRate,liquidityIndex,liquidityRate,priceInEth,priceInUsd,stableBorrowRate,timestamp,totalATokenSupply,totalCurrentVariableDebt,totalLiquidity,totalPrincipalStableDebt,totalScaledVariableDebt,utilizationRate,variableBorrowIndex,variableBorrowRate,reserve_decimals,reserve_name,reserve_pool,true_value
0,2023-04-01 00:00:00+00:00,0.0,55304.6444932477,0.0,1.0,0.0,7439000000.0,7439000000.0,0.09,1680307727.0,55304.6444932477,0.0,55304.6444932477,0.0,0.0,0.0,1.0,0.0,18.0,Aave Token,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,1.0
1,2023-04-01 01:00:00+00:00,0.0,55304.6444932477,0.0,1.0,0.0,7439000000.0,7439000000.0,0.09,1680307727.0,55304.6444932477,0.0,55304.6444932477,0.0,0.0,0.0,1.0,0.0,18.0,Aave Token,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,0.0
2,2023-04-01 02:00:00+00:00,0.0,55304.6444932477,0.0,1.0,0.0,7439000000.0,7439000000.0,0.09,1680307727.0,55304.6444932477,0.0,55304.6444932477,0.0,0.0,0.0,1.0,0.0,18.0,Aave Token,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,0.0
3,2023-04-01 03:00:00+00:00,0.0,55304.6444932477,0.0,1.0,0.0,7439000000.0,7439000000.0,0.09,1680307727.0,55304.6444932477,0.0,55304.6444932477,0.0,0.0,0.0,1.0,0.0,18.0,Aave Token,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,0.0
4,2023-04-01 04:00:00+00:00,0.0,55304.6444932477,0.0,1.0,0.0,7439000000.0,7439000000.0,0.09,1680307727.0,55304.6444932477,0.0,55304.6444932477,0.0,0.0,0.0,1.0,0.0,18.0,Aave Token,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,0.0
5,2023-04-01 05:00:00+00:00,0.0,55304.6444932477,0.0,1.0,0.0,7439000000.0,7439000000.0,0.09,1680307727.0,55304.6444932477,0.0,55304.6444932477,0.0,0.0,0.0,1.0,0.0,18.0,Aave Token,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,0.0
6,2023-04-01 06:00:00+00:00,0.0,55304.88816856512,0.0,1.0,0.0,7367000000.0,7367000000.0,0.09,1680331559.0,55304.88816856512,0.0,55304.88816856512,0.0,0.0,0.0,1.0,0.0,18.0,Aave Token,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,1.0
7,2023-04-01 07:00:00+00:00,0.0,55304.88823856512,0.0,1.0,0.0,7367000000.0,7367000000.0,0.09,1680333383.0,55304.88823856512,0.0,55304.88823856512,0.0,0.0,0.0,1.0,0.0,18.0,Aave Token,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,1.0
8,2023-04-01 08:00:00+00:00,0.0,55304.88823856512,0.0,1.0,0.0,7367000000.0,7367000000.0,0.09,1680333383.0,55304.88823856512,0.0,55304.88823856512,0.0,0.0,0.0,1.0,0.0,18.0,Aave Token,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,0.0
9,2023-04-01 09:00:00+00:00,0.0,55304.88823856512,0.0,1.0,0.0,7367000000.0,7367000000.0,0.09,1680333383.0,55304.88823856512,0.0,55304.88823856512,0.0,0.0,0.0,1.0,0.0,18.0,Aave Token,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,0.0
10,2023-04-01 10:00:00+00:00,0.0,55291.276361009775,0.0,1.0,0.0,7404659564.0,7404659564.0,0.09,1680345803.0,55291.276361009775,0.0,55291.276361009775,0.0,0.0,0.0,1.0,0.0,18.0,Aave Token,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,1.0
11,2023-04-01 11:00:00+00:00,0.0,55291.276361009775,0.0,1.0,0.0,7404659564.0,7404659564.0,0.09,1680345803.0,55291.276361009775,0.0,55291.276361009775,0.0,0.0,0.0,1.0,0.0,18.0,Aave Token,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,0.0
12,2023-04-01 12:00:00+00:00,0.0,55291.276361009775,0.0,1.0,0.0,7404659564.0,7404659564.0,0.09,1680345803.0,55291.276361009775,0.0,55291.276361009775,0.0,0.0,0.0,1.0,0.0,18.0,Aave Token,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,0.0
13,2023-04-01 13:00:00+00:00,0.0,55291.276661009775,0.0,1.0,0.0,7426440000.0,7426440000.0,0.09,1680356375.0,55291.276661009775,0.0,55291.276661009775,0.0,0.0,0.0,1.0,0.0,18.0,Aave Token,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,1.0
14,2023-04-01 14:00:00+00:00,0.0,55291.276661009775,0.0,1.0,0.0,7426440000.0,7426440000.0,0.09,1680356375.0,55291.276661009775,0.0,55291.276661009775,0.0,0.0,0.0,1.0,0.0,18.0,Aave Token,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,0.0
15,2023-04-01 15:00:00+00:00,0.0,55291.280661009776,0.0,1.0,0.0,7367402000.0,7367402000.0,0.09,1680361763.0,55291.280661009776,0.0,55291.280661009776,0.0,0.0,0.0,1.0,0.0,18.0,Aave Token,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,1.0
16,2023-04-01 16:00:00+00:00,0.0,55291.280661009776,0.0,1.0,0.0,7367402000.0,7367402000.0,0.09,1680361763.0,55291.280661009776,0.0,55291.280661009776,0.0,0.0,0.0,1.0,0.0,18.0,Aave Token,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,0.0
17,2023-04-01 17:00:00+00:00,0.0,55291.280661009776,0.0,1.0,0.0,7367402000.0,7367402000.0,0.09,1680361763.0,55291.280661009776,0.0,55291.280661009776,0.0,0.0,0.0,1.0,0.0,18.0,Aave Token,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,0.0
18,2023-04-01 18:00:00+00:00,0.0,55291.280661009776,0.0,1.0,0.0,7367402000.0,7367402000.0,0.09,1680361763.0,55291.280661009776,0.0,55291.280661009776,0.0,0.0,0.0,1.0,0.0,18.0,Aave Token,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,0.0
19,2023-04-01 19:00:00+00:00,0.0,55291.280661009776,0.0,1.0,0.0,7367402000.0,7367402000.0,0.09,1680361763.0,55291.280661009776,0.0,55291.280661009776,0.0,0.0,0.0,1.0,0.0,18.0,Aave Token,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,0.0
20,2023-04-01 20:00:00+00:00,0.0,55291.280661009776,0.0,1.0,0.0,7367402000.0,7367402000.0,0.09,1680361763.0,55291.280661009776,0.0,55291.280661009776,0.0,0.0,0.0,1.0,0.0,18.0,Aave Token,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,0.0
21,2023-04-01 21:00:00+00:00,0.0,55291.29496100978,0.0,1.0,0.0,7427645000.0,7427645000.0,0.09,1680385211.0,55291.29496100978,0.0,55291.29496100978,0.0,0.0,0.0,1.0,0.0,18.0,Aave Token,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,1.0
22,2023-04-01 22:00:00+00:00,0.0,55291.29496100978,0.0,1.0,0.0,7427645000.0,7427645000.0,0.09,1680385211.0,55291.29496100978,0.0,55291.29496100978,0.0,0.0,0.0,1.0,0.0,18.0,Aave Token,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,0.0
23,2023-04-01 23:00:00+00:00,0.0,55291.29496100978,0.0,1.0,0.0,7427645000.0,7427645000.0,0.09,1680385211.0,55291.29496100978,0.0,55291.29496100978,0.0,0.0,0.0,1.0,0.0,18.0,Aave Token,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,0.0
24,2023-04-02 00:00:00+00:00,0.0,55293.29496100978,0.0,1.0,0.0,7426000000.0,7426000000.0,0.09,1680395303.0,55293.29496100978,0.0,55293.29496100978,0.0,0.0,0.0,1.0,0.0,18.0,Aave Token,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,1.0
