,regular_datetime,accruedToTreasury,availableLiquidity,averageStableBorrowRate,liquidityIndex,liquidityRate,priceInEth,priceInUsd,stableBorrowRate,timestamp,totalATokenSupply,totalCurrentVariableDebt,totalLiquidity,totalPrincipalStableDebt,totalScaledVariableDebt,utilizationRate,variableBorrowIndex,variableBorrowRate,reserve_decimals,reserve_name,reserve_pool,true_value
5661,2023-05-19 21:00:00+00:00,20.599410077348274,93932.6537686023,0.0,1.0060609152796245,0.0218572109747068,178244000000.0,178244000000.0,0.0998998412775227,1684531331.0,259461.45349038823,165545.62779328623,258328.92509529763,0.0,163608.07443922333,0.63638352,1.0118646112098322,0.0403048492136466,18.0,Wrapped Ether,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,1.0
5662,2023-05-19 22:00:00+00:00,20.78111519700453,94110.73890040096,0.0,1.0060649316605703,0.0218310590392898,178244000000.0,178244000000.0,0.0998780482325669,1684537091.0,259640.57375249604,165545.62779328623,258507.0102270963,0.0,163608.07443922333,0.63594511,1.0118720601962556,0.0402841458209385,18.0,Wrapped Ether,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,1.0
5663,2023-05-19 23:00:00+00:00,20.86208484843461,94170.20794835011,0.0,1.0060668622077482,0.0218163970965091,178244000000.0,178244000000.0,0.099865824482333,1684540463.0,259714.8978399922,165565.50952599724,258580.83641358183,0.0,163622.26305521338,0.63581907,1.0118756431729614,0.0402725332582163,18.0,Wrapped Ether,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,1.0
5664,2023-05-20 00:00:00+00:00,20.94531183182662,94170.20794835011,0.0,1.0060672798020056,0.0218235650128039,178244000000.0,178244000000.0,0.0998718009201463,1684542299.0,259715.00556985167,165565.50952599724,258580.83641358183,0.0,163622.26305521338,0.63581907,1.011876418492807,0.040278210874139,18.0,Wrapped Ether,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,1.0
5665,2023-05-20 01:00:00+00:00,21.09249897437836,94138.25336125249,0.0,1.0060718087287168,0.021828384172064,178244000000.0,178244000000.0,0.0998758184796498,1684546967.0,259684.21923996223,165565.50952599724,258548.88182648417,0.0,163622.26305521338,0.63589765,1.0118848247477945,0.0402820275556673,18.0,Wrapped Ether,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,1.0
5666,2023-05-20 02:00:00+00:00,21.23316323054473,94446.25636125248,0.0,1.0060748709723295,0.0217831899435712,178244000000.0,178244000000.0,0.0998381245884363,1684551431.0,259993.01280997493,165565.50952599724,258856.88482648417,0.0,163622.26305521338,0.63514103,1.0118905133364022,0.0402462183590145,18.0,Wrapped Ether,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,1.0
5667,2023-05-20 03:00:00+00:00,21.23316323054473,94446.25636125248,0.0,1.0060748709723295,0.0217831899435712,178244000000.0,178244000000.0,0.0998381245884363,1684551431.0,259993.01280997493,165565.50952599724,258856.88482648417,0.0,163622.26305521338,0.63514103,1.0118905133364022,0.0402462183590145,18.0,Wrapped Ether,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,0.0
5668,2023-05-20 04:00:00+00:00,21.415002070008654,94437.56734596886,0.0,1.0060788322097989,0.0217845658228634,178244000000.0,178244000000.0,0.0998392726949218,1684557203.0,259985.34677689025,165565.50952599724,258848.19581120057,0.0,163622.26305521338,0.63516235,1.011897874270469,0.0402473090601757,18.0,Wrapped Ether,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,1.0
5669,2023-05-20 05:00:00+00:00,21.549212319317714,94437.62734596884,0.0,1.0060818846939266,0.0217846347016665,178244000000.0,178244000000.0,0.099839330170106,1684561463.0,259986.1950426849,165565.50952599724,258848.25581120056,0.0,163622.26305521338,0.6351622,1.0119035462874468,0.0402473636616007,18.0,Wrapped Ether,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,1.0
5670,2023-05-20 06:00:00+00:00,21.684551027789496,94463.79152554693,0.0,1.006084870156736,0.0217808716087241,178244000000.0,178244000000.0,0.0998361899667941,1684565759.0,260013.13022817796,165565.50952599724,258874.41999077864,0.0,163622.26305521338,0.635098,1.0119090941091038,0.0402443804684544,18.0,Wrapped Ether,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,1.0
